domain,domain_rating,traffic_domain,positions_source_domain,links_to_target,dofollow_links,is_spam,ip_source
healthynaturlremedy.com,0.0,0,0,2369,2369,0,67.223.118.242
smartlivingseniors.com,0.0,0,0,805,805,0,62.72.50.51
mylymphomachannel.com,2.5,0,0,646,646,0,63.250.43.7
ultimatestrengths.com,5.0,0,0,566,547,0,104.21.80.65
allgoodhealth.net,20.0,0,0,496,496,0,104.21.89.33
seo-anomaly-s8.xyz,0.2,0,0,459,0,1,172.67.135.210
seo-anomaly-s2.xyz,0.2,0,0,408,0,1,104.21.4.94
seo-anomaly-s1.xyz,0.4,0,0,395,0,1,172.67.218.43
seo-anomaly-s4.xyz,0.2,0,0,395,0,1,104.21.61.129
seo-anomaly-s10.xyz,0.4,0,0,395,0,1,172.67.130.143
seo-anomaly-s6.xyz,0.4,0,0,394,0,1,172.67.161.83
seo-anomaly-s7.xyz,0.2,0,0,392,0,1,104.21.28.114
seo-anomaly-s9.xyz,0.2,0,0,390,0,1,104.21.65.116
seo-anomaly-s3.xyz,0.2,0,0,388,0,1,104.21.84.45
seo-anomaly-s5.xyz,0.4,0,0,386,0,1,104.21.80.20
ignitefitnez.com,4.0,0,0,362,362,0,195.200.9.252
verybigbrain.com,37.0,0,0,223,223,0,104.21.65.142
primeacuity.com,3.5,0,0,221,221,0,208.123.116.145
reignitethemind.com,2.6,0,0,208,208,0,208.123.116.145
thesportwriter.com,0.0,0,0,172,137,1,195.179.238.13
stimulantfreeenergy.com,3.0,0,0,146,146,0,104.36.230.105
nutritional-supplements-directory.com,6.0,0,0,140,8,0,104.21.93.39
enhancingbrain.com,3.2,0,0,136,118,0,104.16.243.55
anruibio.com,0.1,0,0,132,132,0,37.44.245.192
brighter-health.com,9.0,0,0,131,131,0,23.19.180.34
bacchusgamma.org,37.0,0,0,125,125,0,104.18.2.50
syktohealth.com,5.0,0,0,123,30,0,198.175.150.171
cognitionprime.bio,0.0,0,0,121,121,0,34.174.209.111
subdomainfinder.io,2.2,0,0,86,86,1,172.67.153.71
cloudaicrypto.com,0.0,0,0,85,85,1,104.16.243.55
bhs-links-rf.xyz,0.5,0,0,83,0,1,104.21.3.173
bhs-links-yt.xyz,0.5,0,0,82,0,1,172.67.215.144
bhs-links-gb.xyz,0.5,0,0,82,0,1,172.67.158.63
bhs-links-bg.xyz,0.5,0,0,82,0,1,172.67.174.78
mindandbody.pro,0.0,0,0,81,0,1,185.158.133.1
bhs-links-rt.xyz,0.5,0,0,80,0,1,104.21.60.199
bhs-links-re.xyz,0.5,0,0,80,0,1,104.21.32.91
bhs-links-fr.xyz,0.5,0,0,80,0,1,104.21.70.133
bhs-links-ty.xyz,0.5,0,0,80,0,1,104.21.56.133
bhs-links-tr.xyz,0.5,0,0,78,0,1,104.21.72.80
bhs-links-er.xyz,0.5,0,0,78,0,1,172.67.178.210
illuminatelabv.com,0.0,0,0,72,0,0,104.21.46.53
fatlotofgood.com.au,25.0,0,0,70,70,0,198.23.213.226
enutritionreads.com,2.0,0,0,68,68,0,195.179.238.13
decoupage-paper.com,0.6,0,0,57,1,0,172.67.161.63
naxttiihealth.com,1.0,0,0,51,49,0,89.116.109.133
evidencelive.org,45.0,0,0,48,0,0,104.21.34.149
cataglow.com,0.2,0,0,48,32,0,104.21.10.213
eurekster.com,52.0,0,0,44,44,0,170.9.240.198
coherence.today,0.6,0,0,42,42,1,172.67.194.220
diffshop.cn,40.0,0,0,40,40,1,52.188.224.130
bloggactivo.com,46.0,0,0,38,38,0,104.21.40.139
healthyyoungamerica.org,9.0,0,0,38,10,1,65.181.111.238
kick-it-soccer.com,2.4,0,0,38,0,1,173.201.185.104
carefocusdaily.com,1.6,0,0,37,37,1,216.150.16.65
similars.net,35.0,0,0,36,0,1,104.21.79.225
canucksupplement.com,0.0,0,0,35,11,1,141.193.23.11
healthbeautyanswers.com,3.1,0,0,35,7,0,172.67.153.108
ampedpages.com,54.0,0,0,34,34,0,172.67.200.110
seo-cartel-9w.xyz,0.1,0,0,33,0,1,104.21.54.219
seo-cartel-4w.xyz,0.1,0,0,33,0,1,104.21.45.244
seo-cartel-2w.xyz,0.1,0,0,33,0,1,104.21.44.40
seo-cartel-1w.xyz,0.1,0,0,33,0,1,172.67.164.15
seo-cartel-8w.xyz,0.1,0,0,33,0,1,172.67.160.106
seo-cartel-10w.xyz,0.1,0,0,33,0,1,104.21.58.220
seo-cartel-5w.xyz,0.1,0,0,33,0,1,172.67.197.221
10bestsupplements.com,1.9,0,0,33,0,0,195.178.106.245
fusioncreations.co.uk,7.0,0,0,33,0,1,92.204.68.14
seo-cartel-7w.xyz,0.1,0,0,32,0,1,104.21.54.93
testolabpro.com,20.0,0,0,32,32,0,104.21.21.185
seo-cartel-6w.xyz,0.1,0,0,31,0,1,172.67.143.66
gohealthywestpiedmont.org,1.0,0,0,30,10,1,195.250.26.52
seo-cartel-3w.xyz,0.1,0,0,30,0,1,104.21.5.118
