domain,domain_rating,traffic_domain,links_to_target,dofollow_links,is_spam,ip_source
wete.co,13.0,0,370277,0,1,172.67.159.70
seo-anomaly-s8.xyz,0.2,0,459,0,1,172.67.135.210
seo-anomaly-s2.xyz,0.2,0,408,0,1,104.21.4.94
seo-anomaly-s1.xyz,0.4,0,395,0,1,172.67.218.43
seo-anomaly-s4.xyz,0.2,0,395,0,1,104.21.61.129
seo-anomaly-s10.xyz,0.4,0,395,0,1,172.67.130.143
seo-anomaly-s6.xyz,0.4,0,394,0,1,172.67.161.83
seo-anomaly-s7.xyz,0.2,0,392,0,1,104.21.28.114
seo-anomaly-s9.xyz,0.2,0,390,0,1,104.21.65.116
seo-anomaly-s3.xyz,0.2,0,388,0,1,104.21.84.45
seo-anomaly-s5.xyz,0.4,0,386,0,1,104.21.80.20
thesportwriter.com,0.0,0,172,137,1,195.179.238.13
noderunners.network,35.0,2,114,114,1,92.63.173.179
subdomainfinder.io,2.2,0,86,86,1,172.67.153.71
cloudaicrypto.com,0.0,0,85,85,1,104.16.243.55
bhs-links-rf.xyz,0.5,0,83,0,1,104.21.3.173
bhs-links-yt.xyz,0.5,0,82,0,1,172.67.215.144
bhs-links-gb.xyz,0.5,0,82,0,1,172.67.158.63
bhs-links-bg.xyz,0.5,0,82,0,1,172.67.174.78
mindandbody.pro,0.0,0,81,0,1,185.158.133.1
bhs-links-rt.xyz,0.5,0,80,0,1,104.21.60.199
bhs-links-re.xyz,0.5,0,80,0,1,104.21.32.91
bhs-links-fr.xyz,0.5,0,80,0,1,104.21.70.133
bhs-links-ty.xyz,0.5,0,80,0,1,104.21.56.133
bhs-links-tr.xyz,0.5,0,78,0,1,104.21.72.80
bhs-links-er.xyz,0.5,0,78,0,1,172.67.178.210
coherence.today,0.6,0,42,42,1,172.67.194.220
diffshop.cn,40.0,0,40,40,1,52.188.224.130
healthyyoungamerica.org,9.0,0,38,10,1,65.181.111.238
kick-it-soccer.com,2.4,0,38,0,1,173.201.185.104
carefocusdaily.com,1.6,0,37,37,1,216.150.16.65
similars.net,35.0,0,36,0,1,104.21.79.225
canucksupplement.com,0.0,0,35,11,1,141.193.23.11
seo-cartel-9w.xyz,0.1,0,33,0,1,104.21.54.219
seo-cartel-4w.xyz,0.1,0,33,0,1,104.21.45.244
seo-cartel-2w.xyz,0.1,0,33,0,1,104.21.44.40
seo-cartel-1w.xyz,0.1,0,33,0,1,172.67.164.15
seo-cartel-8w.xyz,0.1,0,33,0,1,172.67.160.106
seo-cartel-10w.xyz,0.1,0,33,0,1,104.21.58.220
seo-cartel-5w.xyz,0.1,0,33,0,1,172.67.197.221
fusioncreations.co.uk,7.0,0,33,0,1,92.204.68.14
seo-cartel-7w.xyz,0.1,0,32,0,1,104.21.54.93
seo-cartel-6w.xyz,0.1,0,31,0,1,172.67.143.66
gohealthywestpiedmont.org,1.0,0,30,10,1,195.250.26.52
parkinsonsexercise.com,7.0,0,30,10,1,103.21.220.76
seo-cartel-3w.xyz,0.1,0,30,0,1,104.21.5.118
blog2learn.com,53.0,0,28,28,1,172.67.163.206
arparquets.it,5.0,5,28,0,1,77.111.241.90
ssnblog.com,44.0,0,26,26,1,104.21.43.191
thecompleteportal.com,3.8,0,26,2,1,148.135.131.98
dsiblogger.com,48.0,0,25,25,1,104.21.13.87
activablog.com,51.0,0,25,25,1,172.67.135.97
naxttii.shop,0.0,0,24,23,1,185.77.97.186
alizyme.com,6.0,0,24,9,1,195.250.26.52
digiblogbox.com,52.0,0,23,23,1,104.21.8.81
blogpayz.com,51.0,0,23,23,1,172.67.212.31
blogoscience.com,50.0,0,23,23,1,172.67.145.98
naturalweightloss24.com,30.0,0,23,23,1,142.250.140.121
bestfornutrition.com,27.0,0,23,6,1,172.67.139.89
ecomscout.com,44.0,0,22,22,1,104.26.11.26
myparisblog.com,44.0,0,21,21,1,172.67.176.145
prublogger.com,44.0,0,21,21,1,172.67.223.212
jaiblogs.com,45.0,0,19,19,1,104.21.26.22
oppalerts.com,24.0,53,19,0,1,173.208.201.162
blogrenanda.com,48.0,0,19,19,1,104.21.4.192
tribunablog.com,57.0,0,18,18,1,104.21.79.135
mdkblog.com,45.0,0,18,18,1,172.67.181.18
amoblog.com,49.0,0,18,18,1,104.21.64.44
newsblogsports.site,7.0,0,18,18,1,104.21.51.36
liberty-blog.com,44.0,0,18,18,1,172.67.161.117
loginblogin.com,49.0,0,18,18,1,104.21.11.221
alltdesign.com,52.0,0,17,17,1,104.21.52.220
ready.pro,11.0,0,16,0,1,118.139.177.45
eedblog.com,47.0,0,16,16,1,172.67.200.243
primebeautylounge.com,10.0,1,16,0,1,148.66.138.126
thelateblog.com,44.0,0,16,16,1,104.21.1.185
canariblogs.com,51.0,0,16,16,1,172.67.128.43
bloguetechno.com,60.0,2,16,16,1,104.21.23.177
dapago.net,0.5,0,16,0,1,172.67.187.83
seo-anomaly-top-153.xyz,0.0,0,15,0,1,172.67.187.106
seo-anomaly-top-141.xyz,0.0,0,15,0,1,104.21.88.52
seo-anomaly-top-145.xyz,0.0,0,15,0,1,104.21.10.202
seo-anomaly-top-151.xyz,0.0,0,15,0,1,104.21.22.212
seo-anomaly-top-160.xyz,0.0,0,15,0,1,104.21.20.117
seo-anomaly-top-142.xyz,0.0,0,15,0,1,104.21.55.89
blogdigy.com,56.0,0,15,15,1,104.21.4.97
