domain,domain_rating,traffic_domain,positions_source_domain,links_to_target,dofollow_links,is_spam,ip_source,first_seen,last_seen
0d48jskn9.info,0.1,0,0,1,1,False,172.67.133.242,2026-02-27T12:54:04Z,
1-webdirectory.com,26.0,0,0,4,4,True,172.67.191.156,2025-12-05T09:51:52Z,
10bestsupplements.com,1.9,0,0,33,0,False,195.178.106.245,2026-08-16T10:39:30Z,
123-directory.com,28.0,0,0,4,4,True,172.67.170.243,2025-12-09T12:58:38Z,
123webshop.shop,33.0,0,0,1,0,True,172.67.152.135,2026-05-21T23:32:20Z,
1682121.com,0.0,0,0,2,0,True,35.220.240.56,2024-09-26T23:16:59Z,
17track.net,91.0,3001449,82619,8,0,False,104.20.30.23,2025-01-18T13:38:49Z,
199flags.com,1.1,2,6,600,600,False,,2019-09-30T20:03:50Z,2020-01-31T21:49:15Z
1stlinkdirectory.com,26.0,0,0,4,4,True,172.67.203.71,2025-12-27T02:26:53Z,
1w1g03.asia,0.1,0,0,2,2,True,172.67.186.201,2026-02-25T04:53:03Z,
2020-directory.com,27.0,0,0,4,4,True,172.67.195.85,2025-12-01T12:31:52Z,
2021directory.com,25.0,0,0,4,4,True,104.21.92.129,2025-12-18T04:04:59Z,
24by7directory.com,30.0,0,0,4,4,True,104.21.16.71,2025-12-07T18:19:13Z,
2eady8.info,0.1,0,0,2,2,True,172.67.197.100,2026-02-25T22:16:31Z,
2h-fit.net,6.0,0,0,1,1,False,161.117.171.145,2025-08-30T23:10:29Z,
3.105.153.184,0.0,0,0,176,176,False,3.105.153.184,2025-03-03T13:44:00Z,2026-03-12T09:11:37Z
3alamalafkar.online,0.0,0,0,2,2,True,192.178.223.121,2026-02-22T06:16:54Z,
3dactive.com,26.0,659,201,1,1,False,23.227.38.32,2024-08-26T17:22:35Z,
45eywv.asia,0.1,0,0,1,1,True,172.67.223.215,2026-02-26T02:19:08Z,
4mation.com.au,51.0,789,91,1,1,False,52.64.144.192,2026-05-25T16:13:24Z,
4os828.asia,0.1,0,0,2,2,True,172.67.160.81,2026-02-25T22:57:25Z,
4topyp.asia,0.1,0,0,2,2,True,104.21.0.185,2026-02-25T20:03:36Z,
50plus-today.com,31.0,239,106,1,1,False,157.230.217.94,2023-11-30T00:26:50Z,
