url,traffic_potential,difficulty,cpc_usd,parent_topic
https://www.performancelab.com/blogs/fitness/dumbbell-rear-delt-fly,7600,0,0.20,rear delt fly
https://www.performancelab.com/blogs/sleep/best-magnesium-for-sleep,63000,17,0.35,magnesium for sleep
https://www.performancelab.com/blogs/magnesium/magnesium-malate-vs-glycinate,37000,4,0.05,different types of magnesium
https://www.performancelab.com/blogs/magnesium/magnesium-taurate-vs-glycinate,4900,10,0.05,magnesium taurate
https://www.performancelab.com/blogs/sleep/magnesium-bisglycinate-vs-glycinate,3900,0,0.06,magnesium glycinate vs bisglycinate
https://www.performancelab.com/blogs/sleep/how-long-does-melatonin-stay-in-your-system,3700,29,0.03,how long does melatonin last
https://www.performancelab.com/blogs/multi/the-best-time-to-take-zinc,2600,44,0.03,when is the best time to take zinc
https://www.performancelab.com/blogs/multi/how-many-calories-break-a-fast,1600,10,0.04,how many calories break a fast
https://www.performancelab.com/blogs/nutrition/does-creatine-make-you-bloated,4300,2,0.03,does creatine make you bloated
https://www.performancelab.com/blogs/pre-lab-pro/creatine-before-or-after-workout-when-should-you-take-it,9900,14,0.03,creatine before or after workout
https://www.performancelab.com/blogs/nutrition/best-pre-workout-for-women,24000,5,0.40,best preworkout
