Referring Domain,Tracked Links,Affiliate IDs,Current Verdict,Current Risk Factor,Backlinks (true)
human-memory.net,103,5f9802ef2d90f(103),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,227
zanesampson.substack.com,72,9stspoxu6dy16(72),(not in audit),,
revgear.com,43,6409da53be11d(43),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,46
syktohealth.com,37,643cca5c87303(37),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,122
syktohealth.substack.com,32,643cca5c87303(32),(not in audit),,
bebrainfit.com,17,58ceff5cb0952(17),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,98
fitnessvolt.com,16,5d6342d22de95(16),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,17
bloggazza.com,14,68990cbe508aa(14),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
activosblog.com,14,68990cbe508aa(14),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
ebylife.com,13,5da0267c4dca6(13),REVIEW_MANUALLY,Elevated Exact-Match Anchor Ratio,249
ultimatestrengths.com,12,661e1533991c0(12),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,195
fitnessclone.com,12,5de01313ea015(12),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,379
premierinjuries.com,12,5e8a316483e3c(12),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,14
runnerclick.com,8,5d1cd611415ec(8),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,8
smartlivingseniors.com,8,65c24363c10e0(8),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,416
greatestphysiques.com,8,54aab6ff77992(8),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,12
edibleethics.com,7,65d86f142442b(7),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,7
thehindu.com,6,5d495a2de4c98(6),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,6
orlandomagazine.com,6,5862b692b6134(3); 5d495a2de4c98(3),REVIEW_MANUALLY,Elevated Exact-Match Anchor Ratio,10
torokhtiy.com,6,66d2b30a033a3(6),KEEP_AFFILIATE_RETAIN,None - Ordinary Small Publisher (Risk-Triaged),8
firstpost.com,5,5d495a2de4c98(5),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,5
pickyeaterblog.com,5,5ec76995e8186(5),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,5
veganfoundry.com,5,5f1c4477adba6(5),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,45
nootropicsexpert.com,5,5c0957016035e(5),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,481
eastbayexpress.com,5,5f4e9bd7d388a(5),REVIEW_MANUALLY,Exact-Match Anchor Abuse (Syndicated Placement) [flagged for client decision],679
bodynutrition.org,5,5ce32f9c1c441(5),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,44
biohackers.world,5,689f17173996e(5),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,218
letsvisitasia.com,4,5862b692b6134(4),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,19
anthonydennis-24878.medium.com,4,5c5a258eeba5c(4),(not in audit),,
middleeasy.com,4,5d6342d22de95(4),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,4
mercyforanimals.org,4,5ce32f9c1c441(4),KEEP_AFFILIATE_RETAIN,None - Negligible Exposure (Risk-Triaged),4
healthtrends.com,4,5ce32f9c1c441(4),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,14
activoblog.com,4,68990cbe508aa(4),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
diowebhost.com,4,68990cbe508aa(4),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
fortune.com,3,6737abe516361(2); 5d3efa06f1393(1),KEEP_AFFILIATE_RETAIN,None - Negligible Exposure (Risk-Triaged),3
securelinksdirectory.com,3,5d3efa06f1393(3),DISAVOW,Directory / Link-Scheme Spam Footprint,30
bligblogging.com,3,68990cbe508aa(3),DISAVOW,Vendor Blog Network (Spun-Content PBN),4
news18.com,3,5d495a2de4c98(3),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,3
forbiddenbroadway.com,3,654645dde703e(3),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,3
linktr.ee,2,9stspoxu6dy16(1); 69ca9cc51a1d2(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,3
mindbodydad.com,2,651f4e5c7d927(1); 5c0957016035e(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,65
laweekly.com,2,5862b692b6134(2),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,4
blog4youth.com,2,68990cbe508aa(2),DISAVOW,Vendor Blog Network (Spun-Content PBN),5
neuroedgeformula.com,2,68d7e00d56286(2),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,27
video.blog,2,5d4aab8144732(2),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,2
geriatricacademy.com,2,62177f4de2bda(2),REVIEW_MANUALLY,Unclassified - Insufficient Signal,15
full-design.com,2,68990cbe508aa(2),DISAVOW,Vendor Blog Network (Spun-Content PBN),20
