Referring Domain,In Semrush Audit,In Ahrefs Live,Current Action,Link-Level Rows (new),Dead/Unreachable Links,Redirect Hosts,Brand-Owned Hop,Ahrefs Traffic,Ahrefs Positions,Ahrefs Follow Links,Ahrefs is_spam,IP,Generated Family
0d48jskn9.info,False,True,NOT_AUDITED,0,0,,False,0,0,1,False,172.67.133.242,
1-webdirectory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,172.67.191.156,
1000.co.in,True,False,DISAVOW,0,0,,False,,,0,False,,
100nutrix.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
10bestsupplements.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,0,0,0,False,195.178.106.245,
123-directory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,172.67.170.243,
123webshop.shop,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.152.135,
1682121.com,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,35.220.240.56,
17track.net,False,True,NOT_AUDITED,0,0,,False,3001449,82619,0,False,104.20.30.23,
1883magazine.com,True,False,KEEP_AFFILIATE_RETAIN,0,0,,False,,,0,False,,
199flags.com,False,True,NOT_AUDITED,0,0,,False,2,6,600,False,,
1and1life.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
1stcallglasscare.com,True,False,KEEP_AFFILIATE_RETAIN,2,0,dtcx.com,False,,,0,False,,
1stlinkdirectory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,172.67.203.71,
1w1g03.asia,False,True,NOT_AUDITED,0,0,,False,0,0,2,True,172.67.186.201,
2020-directory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,172.67.195.85,
2021directory.com,True,True,DISAVOW,1,0,,False,0,0,4,True,104.21.92.129,
2022topranked.com,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
21dayhero.com,True,False,KEEP_AFFILIATE_RETAIN,4,4,,False,,,0,False,,
247sports.news,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
24by7directory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,104.21.16.71,
27.be,True,False,REVIEW_MANUALLY,19,0,dtcx.com,False,,,0,False,,
2all.asia,True,False,REVIEW_MANUALLY,2,0,,False,,,0,False,,
2eady8.info,False,True,NOT_AUDITED,0,0,,False,0,0,2,True,172.67.197.100,
2h-fit.net,False,True,NOT_AUDITED,0,0,,False,0,0,1,False,161.117.171.145,
2urbangirls.com,True,False,KEEP_AFFILIATE_RETAIN,0,0,,False,,,0,False,,
2x9.co,True,False,REVIEW_MANUALLY,8,0,dtcx.com;nutropic.com;testolabpro.com,True,,,0,False,,
3.105.153.184,False,True,NOT_AUDITED,0,0,,False,0,0,176,False,3.105.153.184,
3alamalafkar.online,True,True,REVIEW_MANUALLY,1,0,,False,0,0,2,True,192.178.223.121,
3dactive.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,prelabpro.com,True,659,201,1,False,23.227.38.32,
45eywv.asia,False,True,NOT_AUDITED,0,0,,False,0,0,1,True,172.67.223.215,
4levels.ro,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
4mation.com.au,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,789,91,1,False,52.64.144.192,
4os828.asia,False,True,NOT_AUDITED,0,0,,False,0,0,2,True,172.67.160.81,
4topyp.asia,False,True,NOT_AUDITED,0,0,,False,0,0,2,True,104.21.0.185,
500fitness.com,True,False,REVIEW_MANUALLY,5,0,,False,,,0,False,,
50plus-today.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,239,106,1,False,157.230.217.94,
5118.com,True,False,KEEP_AFFILIATE_RETAIN,0,0,,False,,,0,False,,
5913231.cc,True,False,REVIEW_MANUALLY,5,0,dtcx.com;nutropic.com;testolabpro.com,True,,,0,False,,
59bloggers.com,False,True,NOT_AUDITED,0,0,,False,0,0,3,True,104.21.50.79,
5x239g.asia,False,True,NOT_AUDITED,0,0,,False,0,0,2,True,172.67.186.154,
60andover.net,True,True,REVIEW_MANUALLY,13,0,,False,0,0,8,False,162.0.209.76,
66blm.asia,False,True,NOT_AUDITED,0,0,,False,0,0,1,False,172.67.144.185,
6kv5r2.info,False,True,NOT_AUDITED,0,0,,False,0,0,1,True,172.67.189.30,
6r85tr.asia,False,True,NOT_AUDITED,0,0,,False,0,0,1,True,104.21.24.210,
77thhub.asia,False,True,NOT_AUDITED,0,0,,False,0,0,1,True,172.67.218.105,
7pw6z.info,False,True,NOT_AUDITED,0,0,,False,0,0,1,True,104.21.8.179,
7steps.ai,False,True,NOT_AUDITED,0,0,,False,0,0,1,True,164.90.177.35,
911auto.it,True,False,REVIEW_MANUALLY,4,0,,False,,,0,False,,
9363.in,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
955x.com,True,False,REVIEW_MANUALLY,12,12,,False,,,0,False,,
99backlinksbuy.com,True,True,DISAVOW,0,0,,False,0,0,0,True,203.161.54.114,
99bestsite.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,0,0,2,True,104.21.16.104,
99ranks.com,True,False,DISAVOW,1,0,,False,,,0,False,,
99w.im,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
99w56l.asia,False,True,NOT_AUDITED,0,0,,False,0,0,1,True,172.67.131.148,
99webdirectory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,172.67.164.110,
9round.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,24096,2196,2,False,198.74.62.223,
a-listdirectory.com,True,False,DISAVOW,2,0,,False,,,0,False,,
a-z-directory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,172.67.200.68,
a1c.io,True,False,KEEP_AFFILIATE_RETAIN,0,0,,False,,,0,False,,
a1housingservicesltd.co.uk,True,True,REVIEW_MANUALLY,3,0,,False,0,0,0,True,160.153.133.146,
a2zseoarticles.com,True,False,DISAVOW,1,0,,False,,,0,False,,
