Referring Domain / URL,Target URL,Anchor Text,Action Recommendation,Primary Risk Factor,Confidence Score,Backlinks,Linking Pages,Unique Anchors,Top Anchor Share,Remediation Priority,Follow (Equity) Links,Exact-Match Anchor %,Branded/URL Anchor %,Median Page AScore,Max Page AScore,Avg External Links,Nofollow %,Sponsored,Topically Relevant,Distinct Targets,Lost %,First Seen,Last Seen,Rationale
eurekster.com,https://www.performancelab.com/blogs/multi/best-multivitamin-for-men (+22 more),https://www.performancelab.com/blogs/multi/best-multivitamin-for-men (+47 more),DISAVOW,Exact-Match Anchor Abuse (Syndicated Placement),High,240,70,48,12%,P1 - Follow links at volume,240,35%,56%,0,0,174,0%,no,no,23,0%,1713144340,1786629989,35% exact-match commercial anchors across 70 low-authority content pages (median AS 0) with only 48 distinct anchors.
appsupports.co,https://www.performancelab.com/,Upgrade Yourself!,DISAVOW,Client Decision (Disavow) - Auto-Generated App Listing,High,177,177,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,11,100%,no,no,1,5%,1755931360,1787303600,"Client instruction, 2026-08-25. No link-level sample exists for this domain (910 backlinks, none in the 50k export), so the audit had it as unverified rather than condemned. Authority 5, first seen 2025-08-23, Cloudflare-fronted auto-generated app-listing site."
cloudaicrypto.com,https://www.performancelab.com/products/mind-lab-pro?a_aid=CloudAICrypto&a_bid=trump-just-sent-crypto-to-the-moon (+51 more),MindLabPro (+23 more),DISAVOW,Client Decision (Disavow) - Off-Niche High-Volume Placement,High,154,40,24,47%,P1 - Follow links at volume,114,0%,47%,0,0,28,26%,no,no,52,0%,1736079994,1787627949,"Client instruction, 2026-08-25. No link-level sample exists (154 backlinks, none in the 50k export). Authority 2, first seen 2025-01-05, Cloudflare-fronted. A crypto/AI-themed domain carrying volume into a supplement brand with no topical basis."
kimssaulikesd.blogspot.com,https://www.performancelab.com/blogs/wellness,https://testolabpro.com/,DISAVOW,Free-Host Blog Serving a Link Dump,High,51,51,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,13513,100%,no,no,1,100%,1773422762,1774102574,"Averages 13,513 outbound links per page on a free blog host — a scraped or compromised template, not a publisher."
baskidunyasi.net,https://www.performancelab.com/blogs/sleep/can-you-overdose-on-melatonin?srsltid=AfmBOoovyBdj3KQuXeen6kKsquYLy68bFlcoWc17b_CbDNDVIp5rZBy7 (+25 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,45,14,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,3012,100%,no,no,26,0%,,,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
blogdosaga.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),more info (+10 more),DISAVOW,Throwaway Auto-Generated Host,High,34,18,11,15%,P1 - Follow links at volume,34,0%,0%,0,2,4,0%,no,yes,2,0%,1760764369,1787496311,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogsvirals.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+12 more),DISAVOW,Throwaway Auto-Generated Host,High,29,18,13,21%,P1 - Follow links at volume,29,3%,0%,0,2,4,0%,no,yes,2,0%,1765878124,1787622541,Randomly generated account subdomain — disposable link-vendor infrastructure.
retiredbrains.com,https://www.performancelab.com/blogs/joint-support/best-joint-supplements,choose the best joint supplement,DISAVOW,Exact-Match Anchor Abuse (Sitewide Injection),High,28,28,1,100%,P1 - Follow links at volume,28,100%,0%,4,4,71,0%,no,yes,1,0%,2024-08-22,2026-08-16,Single non-branded anchor 'choose the best joint supplement' repeated across 25 content pages (archive and pagination URLs excluded) — paid sitewide insertion signature.
educationalimpactblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,26,15,9,31%,P1 - Follow links at volume,26,0%,0%,0,2,2,0%,no,yes,2,0%,1767126473,1785638218,Randomly generated account subdomain — disposable link-vendor infrastructure.
instantelhydraulics.com,https://www.performancelab.com/blogs/nutrition/inositol-for-men (+7 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,25,20,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,26149,100%,no,no,8,0%,1772066597,1773736867,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
