Referring Domain,Action Recommendation,Primary Risk Factor,Confidence Score,Evidence Level,Remediation Priority,Backlinks (true),Backlinks (in sample),Follow (Equity) Links,Domain ascore,IP Address,C-Block,Hosting,Country,Target URL,Anchor Text,Unique Anchors,Exact-Match Anchor %,Branded/URL Anchor %,Avg External Links,Nofollow %,Topically Relevant,First seen,Last seen,Disavow Entry,Rationale
appsupports.co,DISAVOW,Client Decision (Disavow) - Auto-Generated App Listing,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),910,177,0,5,172.66.43.200,172.66.43.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/,Upgrade Yourself!,1,0%,0%,11,100%,no,2025-08-23,2026-08-24,domain:appsupports.co,"Client instruction, 2026-08-25. No link-level sample exists for this domain (910 backlinks, none in the 50k export), so the audit had it as unverified rather than condemned. Authority 5, first seen 2025-08-23, Cloudflare-fronted auto-generated app-listing site."
seo-anomaly-s1.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,172.67.218.43,172.67.218.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-19,2026-08-24,domain:seo-anomaly-s1.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s10.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,172.67.130.143,172.67.130.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-15,2026-08-24,domain:seo-anomaly-s10.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s2.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,104.21.4.94,104.21.4.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-16,2026-08-24,domain:seo-anomaly-s2.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s3.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,104.21.84.45,104.21.84.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-16,2026-08-24,domain:seo-anomaly-s3.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s4.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,104.21.61.129,104.21.61.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-20,2026-08-24,domain:seo-anomaly-s4.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s5.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,104.21.80.20,104.21.80.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-16,2026-08-24,domain:seo-anomaly-s5.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s6.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,104.21.9.211,104.21.9.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-20,2026-08-24,domain:seo-anomaly-s6.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s7.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,104.21.28.114,104.21.28.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-20,2026-08-24,domain:seo-anomaly-s7.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s8.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,104.21.26.92,104.21.26.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-19,2026-08-24,domain:seo-anomaly-s8.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
seo-anomaly-s9.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",410,0,,2,172.67.190.22,172.67.190.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-19,2026-08-24,domain:seo-anomaly-s9.xyz,One of 10 numerically-sequenced sibling domains (seo-anomaly-s#.xyz) — machine-generated network.
bhs-links-bg.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,172.67.174.78,172.67.174.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-02,2026-08-24,domain:bhs-links-bg.xyz,Domain name advertises link sales or SEO link services.
bhs-links-er.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,104.21.48.58,104.21.48.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-03,2026-08-24,domain:bhs-links-er.xyz,Domain name advertises link sales or SEO link services.
bhs-links-fr.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,172.67.223.205,172.67.223.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-04,2026-08-24,domain:bhs-links-fr.xyz,Domain name advertises link sales or SEO link services.
bhs-links-gb.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,172.67.158.63,172.67.158.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-04,2026-08-24,domain:bhs-links-gb.xyz,Domain name advertises link sales or SEO link services.
bhs-links-re.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,104.21.32.91,104.21.32.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-03,2026-08-23,domain:bhs-links-re.xyz,Domain name advertises link sales or SEO link services.
bhs-links-rf.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,104.21.3.173,104.21.3.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-05,2026-08-24,domain:bhs-links-rf.xyz,Domain name advertises link sales or SEO link services.
bhs-links-rt.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,104.21.60.199,104.21.60.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-06,2026-08-24,domain:bhs-links-rt.xyz,Domain name advertises link sales or SEO link services.
bhs-links-tr.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,104.21.72.80,104.21.72.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-05,2026-08-24,domain:bhs-links-tr.xyz,Domain name advertises link sales or SEO link services.
bhs-links-ty.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,172.67.152.25,172.67.152.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-05,2026-08-24,domain:bhs-links-ty.xyz,Domain name advertises link sales or SEO link services.
bhs-links-yt.xyz,DISAVOW,Link-Selling / SEO Vendor Domain,High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",160,0,,2,172.67.215.144,172.67.215.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-05,2026-08-24,domain:bhs-links-yt.xyz,Domain name advertises link sales or SEO link services.
cloudaicrypto.com,DISAVOW,Client Decision (Disavow) - Off-Niche High-Volume Placement,High,Link-level (in 50k sample),P1 - Follow links at volume,154,154,114,2,104.16.243.55,104.16.243.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/products/mind-lab-pro?a_aid=CloudAICrypto&a_bid=trump-just-sent-crypto-to-the-moon (+51 more),MindLabPro (+23 more),24,0%,47%,28,26%,no,2025-01-05,2026-08-24,domain:cloudaicrypto.com,"Client instruction, 2026-08-25. No link-level sample exists (154 backlinks, none in the 50k export). Authority 2, first seen 2025-01-05, Cloudflare-fronted. A crypto/AI-themed domain carrying volume into a supplement brand with no topical basis."
eurekster.com,DISAVOW,Exact-Match Anchor Abuse (Syndicated Placement),High,Link-level (in 50k sample),P1 - Follow links at volume,149,240,240,6,170.9.240.198,170.9.240.0/24,,us,https://www.performancelab.com/blogs/multi/best-multivitamin-for-men (+22 more),https://www.performancelab.com/blogs/multi/best-multivitamin-for-men (+47 more),48,35%,56%,174,0%,no,2024-04-14,2026-08-18,domain:eurekster.com,35% exact-match commercial anchors across 70 low-authority content pages (median AS 0) with only 48 distinct anchors.
illuminatelabv.com,DISAVOW,"Client Decision (Disavow) - New Domain, Aggressive Velocity",High,Domain-level only (outside sample),"P1 - Follow status unknown, high volume",116,0,,0,172.67.223.225,172.67.223.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-08-09,2026-08-23,domain:illuminatelabv.com,"Client instruction, 2026-08-25. No link-level sample exists (116 backlinks, none in the 50k export). Authority 0, first seen 2026-08-09 -- roughly two weeks before this audit, so 116 links were acquired almost immediately."
coherence.today,DISAVOW,Identical-Footprint Cohort (Same Operator),High,Domain-level only (outside sample),-,93,0,,2,104.21.20.237,104.21.20.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-14,2026-08-24,domain:coherence.today,"3 referring domains carry exactly 93 backlinks each at authority 3 or below (cognitionprime.bio, coherence.today, neurohub.bio) — a single deployment, not organic acquisition."
seo-anomaly-d-1.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,60,0,,2,172.67.183.87,172.67.183.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-13,2026-08-21,domain:seo-anomaly-d-1.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
seo-anomaly-d-5.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,60,0,,2,172.67.174.32,172.67.174.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-13,2026-08-24,domain:seo-anomaly-d-5.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
seo-anomaly-d-6.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,60,0,,2,172.67.199.36,172.67.199.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-13,2026-08-22,domain:seo-anomaly-d-6.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
seo-anomaly-d-8.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,60,0,,2,172.67.222.137,172.67.222.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-13,2026-08-23,domain:seo-anomaly-d-8.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
