Referring Domain,Current Action,Proposed Action,Confidence,Ahrefs Traffic,Ahrefs Positions,Follow Links,Ahrefs is_spam,IP,Reason
healthynaturlremedy.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,2847,False,67.223.118.242,"2847 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
thenaturalhealthblogger.com,NOT_AUDITED,DISAVOW,High,0,0,2308,False,,"2308 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
themeskanon.com,NOT_AUDITED,DISAVOW,High,0,0,2143,False,34.92.68.194,"2143 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
remediesnt.com,NOT_AUDITED,DISAVOW,High,0,0,1267,False,,"1267 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
mylymphomachannel.com,REVIEW_MANUALLY,DISAVOW,High,0,0,937,False,63.250.43.7,"937 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
best5supplements.com,NOT_AUDITED,DISAVOW,High,0,0,916,False,104.21.7.29,"916 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
smartlivingseniors.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,832,False,62.72.50.51,"832 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
ultimatestrengths.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,566,False,104.21.80.65,"566 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
allgoodhealth.net,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,496,False,104.21.89.33,"496 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
ignitefitnez.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,438,False,195.200.9.252,"438 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
top10supplements.com,NOT_AUDITED,DISAVOW,High,0,0,433,False,,"433 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
braintrainchallenge.com,NOT_AUDITED,DISAVOW,High,0,0,423,False,108.160.144.190,"423 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
lllhunterdon.org,NOT_AUDITED,DISAVOW,High,0,0,412,False,185.151.30.163,"412 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
muxcle.com,NOT_AUDITED,DISAVOW,High,0,0,398,False,172.67.211.70,"398 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
thesportwriter.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,341,True,35.181.159.169,"341 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
bisvalves.org,NOT_AUDITED,DISAVOW,High,0,0,328,False,35.215.150.103,"328 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
naturetraveling.com,NOT_AUDITED,DISAVOW,High,0,0,316,False,104.129.1.90,"316 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
verybigbrain.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,261,False,104.21.65.142,"261 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
mybookcoupons.com,NOT_AUDITED,DISAVOW,High,0,0,245,False,104.21.28.142,"245 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
runningsneakerz1.com,NOT_AUDITED,DISAVOW,High,0,0,244,False,,"244 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
primeacuity.com,REVIEW_MANUALLY,DISAVOW,High,0,0,227,False,208.123.116.145,"227 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
serendeputy.com,NOT_AUDITED,DISAVOW,High,0,0,213,False,172.66.43.175,"213 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
reignitethemind.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,210,False,208.123.116.145,"210 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
maffies.com,NOT_AUDITED,DISAVOW,High,0,0,206,False,92.113.16.126,"206 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
testosteroneboostersaustralia.com,NOT_AUDITED,DISAVOW,High,0,0,188,False,75.98.175.91,"188 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
top10supps.com,REVIEW_MANUALLY,DISAVOW,Medium,0,1,188,True,51.210.136.112,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
3.105.153.184,NOT_AUDITED,DISAVOW,High,0,0,176,False,3.105.153.184,"176 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
geriatricacademy.com,REVIEW_MANUALLY,DISAVOW,High,0,0,157,False,104.21.64.21,"157 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
getvouchersforfree.com,NOT_AUDITED,DISAVOW,High,0,0,151,False,172.67.146.113,"151 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
lifeentrepreneur.academy,NOT_AUDITED,DISAVOW,High,0,0,151,False,,"151 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
stimulantfreeenergy.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,146,False,104.36.230.105,"146 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
lifestylebycata.com,REVIEW_MANUALLY,DISAVOW,High,0,0,143,False,35.204.150.5,"143 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
