Referring Domain / URL,Target URL,Anchor Text,Anchor Type,Action Recommendation,Primary Risk Factor,Confidence Score,Referring Domain,Page AScore,External Links,Nofollow,Sponsored,Sitewide,Lost Link,First Seen,Last Seen
https://1stcallglasscare.com/grow-organic-traffic-with-authority-backlinks-65/,https://www.performancelab.com/,dtcx.com,Phrasing,DISAVOW,Link Farm / Outbound-Link Bloat,High,1stcallglasscare.com,0,2001,false,false,false,false,1770410397,1784823968
https://1stcallglasscare.com/drive-organic-traffic-fast-with-our-backlinks-175/,https://performancelab.com/,performancelab.com,Branded,DISAVOW,Link Farm / Outbound-Link Bloat,High,1stcallglasscare.com,0,2001,false,false,false,false,1773658608,1784823968
https://1stlinkdirectory.com/listings13376827/discovering-omega-3-power-how-fish-oil-supplements-benefit-you,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,Branded,DISAVOW,Directory / Link-Scheme Spam Footprint,High,1stlinkdirectory.com,0,2,false,false,false,false,1772941578,1783649175
https://1stlinkdirectory.com/listings13383936/unlocking-omega-3-s-power-the-benefits-of-fish-oil-supplements,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1,Branded,DISAVOW,Directory / Link-Scheme Spam Footprint,High,1stlinkdirectory.com,0,2,false,false,false,false,1773184044,1783724256
https://www.27.be/live-domain-auction-feed/nl?page=102&sort=bid_count-asc,https://www.performancelab.com/,.com,Phrasing,DISAVOW,Link Farm / Outbound-Link Bloat,High,27.be,0,219,false,false,false,false,,
https://www.27.be/live-domain-auction-feed/nl?page=102&sort=maj_tf-desc,https://www.performancelab.com/,.com,Phrasing,DISAVOW,Link Farm / Outbound-Link Bloat,High,27.be,0,219,false,false,false,false,,
https://www.27.be/live-domain-auction-feed/nl?page=135,https://www.performancelab.com/,.com,Phrasing,DISAVOW,Link Farm / Outbound-Link Bloat,High,27.be,0,239,false,false,false,false,,
https://www.27.be/live-domain-auction-feed/nl?page=135&sort=domain-desc,https://www.performancelab.com/,.com,Phrasing,DISAVOW,Link Farm / Outbound-Link Bloat,High,27.be,0,229,false,false,false,false,,
https://www.27.be/live-domain-auction-feed/nl?page=135&sort=end_time-asc,https://www.performancelab.com/,.com,Phrasing,DISAVOW,Link Farm / Outbound-Link Bloat,High,27.be,0,229,false,false,false,false,,
https://www.27.be/live-domain-auction-feed/nl?page=135&sort=length-asc,https://www.performancelab.com/,.com,Phrasing,DISAVOW,Link Farm / Outbound-Link Bloat,High,27.be,0,229,false,false,false,false,,
