domain,domain_rating,traffic_domain,links_to_target,dofollow_links,is_spam,positions_source_domain,ip_source,first_seen,last_seen
nhadatthanhvinh.com,0.0,0,1,1,False,0,,2017-11-03T07:18:52Z,2017-12-21T21:34:08Z
submissivewomendominated.us,0.0,0,3,3,False,0,,2017-11-05T10:16:05Z,2017-12-10T15:16:03Z
middagsaasen.no,0.0,0,1,0,False,0,,2018-06-08T12:30:42Z,2018-06-16T10:21:56Z
linkgrowthauthority.shop,0.0,0,2,0,True,0,172.67.146.146,2026-08-09T16:56:31Z,
seogrowthprovider.shop,0.0,0,2,0,True,0,104.21.79.253,2026-08-03T07:18:15Z,
localshutters.net,0.0,0,4,0,True,0,104.21.6.232,2025-08-19T00:44:39Z,
fdidesktopf.gq,0.0,0,1,1,False,0,,2017-12-19T05:39:49Z,2018-05-06T19:59:30Z
backlinkboosters.online,0.0,0,2,2,True,0,172.67.190.21,2025-12-19T04:20:56Z,2026-06-06T03:45:20Z
matureamateur.me,0.0,0,2,2,False,0,,2017-06-08T07:30:16Z,2017-08-11T14:02:01Z
doordesigns.space,0.0,0,1,1,False,0,,2018-02-21T02:18:36Z,2018-03-13T14:39:56Z
computersolutionscr.info,0.0,0,1,1,False,0,,2017-10-03T09:53:03Z,2017-11-15T12:43:59Z
designgfandroiddesktop.ga,0.0,0,1,1,False,0,,2017-12-10T12:50:23Z,2018-01-06T09:24:34Z
ezio.us,0.0,0,1,1,False,0,,2018-01-29T11:02:18Z,2018-03-01T07:20:14Z
jxwikfum.xyz,0.0,0,2,2,True,0,104.21.47.108,2025-07-21T05:17:22Z,2026-03-11T19:52:09Z
qscam.com,0.0,0,2,2,False,0,145.79.209.143,2025-08-02T16:10:07Z,2026-02-26T22:41:12Z
rankgrowthinsights.shop,0.0,0,2,0,True,0,172.67.168.57,2026-08-08T23:10:40Z,
jdbfiqxv.xyz,0.0,0,3,3,True,0,172.67.161.117,2025-05-21T12:46:26Z,2026-01-02T02:50:35Z
zlzfsaat.xyz,0.0,0,1,1,True,0,172.67.201.142,2025-05-21T09:52:18Z,2025-12-12T03:33:26Z
suggest-tool.ru,0.0,0,4,0,False,0,,2017-03-28T10:22:50Z,2017-09-21T20:18:05Z
usedpatiofurniture.org,0.0,0,1,1,False,0,,2016-10-02T17:18:23Z,2016-12-03T09:56:22Z
securedrate.com,0.0,0,2,2,False,0,,2019-02-15T09:47:58Z,2019-02-20T23:33:25Z
haitisoleil.com,0.0,0,2,2,False,0,,2016-06-26T10:16:00Z,2017-08-12T01:00:54Z
