domain,anchor_type,anchor,dofollow,link_type,is_spam,url_from
10times.com,empty/image,,nofollow,text,,
142.54.190.10,other/generic,.,dofollow,text,,http://142.54.190.10/exterior-shutters-atlanta-georgia/
24-7pressrelease.com,commercial/keyword,home window replacement,nofollow,text,,
2findlocal.com,other/generic,Request a Free Proposal,nofollow,text,,
5minuteguide.net,commercial/keyword,Vinyl Windows Atlanta,nofollow,text,,http://5minuteguide.net/tutorials/how-to-enable-popup-blocker-in-firefox/
a-dinteriors.com,other/generic,.,dofollow,text,,http://a-dinteriors.com/fiberglass-windows.html
a-zbusinessfinder.com,branded/URL,http://ngwindows.com,dofollow,text,,
accio.com,other/generic,7,nofollow,text,,
aemobilewallpapersh.gq,other/generic,Get free high quality HD wallpapers printable psychrometric chart free,dofollow,text,,http://aemobilewallpapersh.gq/files/images/printable-psychrometric-chart-free.html
africainalabama.org,commercial/keyword,Vinyl Windows Atlanta,nofollow,text,,http://www.africainalabama.org/members-2/
ahimsahouse.org,commercial/keyword,ngwindows-logo,dofollow,image,,
ahouseinthehills.com,commercial/keyword,Entry door replacement,dofollow,text,,
airlive.us,commercial/keyword,Sunroom Contractor : Home improvement contractor logo best design and,dofollow,image,,http://airlive.us/20170908105255_sunroom-contractor/
allbiz.com,branded/URL,ngwindows.com,nofollow,text,,
allonesearch.com,other/generic,View Our Special Offers!,nofollow,text,,
allwomenstalk.com,other/generic,Source,nofollow,text,,
amandapalmer.net,commercial/keyword,Window Replacement Company Atlanta,nofollow,text,,
amazonaws.com,branded/URL,http://ngwindows.com/,nofollow,text,,
americantowns.com,other/generic,February Sweetheart Special!,dofollow,text,,
anizcom.press,other/generic,Galerry printable psychrometric chart uk,dofollow,text,,http://anizcom.press/upload/printable-psychrometric-chart-uk.html
answerism.com,other/generic,See Full Answer,nofollow,text,,https://answerism.com/who-replaces-fiberglass-windows
aocrsljd.xyz,SPAM/money,"8U2Uc↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",dofollow,text,TRUE,https://aocrsljd.xyz/ewrryywpbusxx
aol.ca,empty/image,,dofollow,image,,
aol.co.uk,branded/URL,Window and Door Replacement in Atlanta | North Georgia ...,dofollow,text,,
aol.com,branded/URL,North Georgia Replacement Windows - Windows & Doors Roswell GA,dofollow,text,,
aozxy168.com,empty/image,,nofollow,text,,http://aozxy168.com/4-19.html
appm.us,other/generic,.,dofollow,text,,http://appm.us/bow-window-roof.html
appsava.us,SPAM/money,Bow Mar Littleton Colorado likewise Arts And Crafts Style Home Interiors further Frank Lloyd Wright Robie House Interior moreover Frank Lloyd Wright Style Home moreover Truck Loadi,nofollow,image,,http://appsava.us/frank/frank-lloyd-wright-prairie-style-homes
appspot.com,branded/URL,ngwindows.com,nofollow,text,,
appsruntheworld.com,branded/URL,https://www.ngwindows.com/,dofollow,text,,
apsibr.pics,branded/URL,https://www.ngwindows.com/blog/standard-door-sizes,nofollow,text,,https://apsibr.pics/articles/is-roblox-ok-for-a-9
artislife.us,other/generic,View large : Sunroom additions joy studio design gallery best,dofollow,text,,http://artislife.us/20171010125255_cost-of-sunroom/
asenor.pics,branded/URL,https://www.ngwindows.com/blog/standard-door-sizes,nofollow,text,,https://asenor.pics/articles/what-is-the-scale-1-to-500
ask.com,branded/URL,Iron Doors Atlanta | Fiberglass Doors | North Georgia Replacement ...,nofollow,text,,
atlanta.com,branded/URL,http://www.ngwindows.com/,nofollow,text,,
atlantabestmedia.com,branded/URL,ngwindows.com,dofollow,text,,
