domain,decision,priority,strict_verdict,why,follow,aclass,example_anchor,backlink_url,authority,dr,ascore,traffic,positions,is_spam,links,ip,country,tier_reason,link_checked
01webdirectory.com,DISAVOW,P1 – Core (disavow),confirmed,Spam directory listing,dofollow,commercial,NG Windows,https://www.01webdirectory.com/windows-walls.htm,20,0.0,20,0,0,,1,88.99.0.6,de,footprint,yes
1000.co.in,DISAVOW,P1 – Core (disavow),confirmed,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,commercial,performingwindows.com,http://www.1000.co.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0.0,2,0,0,,14,118.139.181.85,sg,footprint; farm-IP; exact-match commercial anchor,yes
23cucuc12es.blogspot.com,DISAVOW,P1 – Core (disavow),confirmed,Spam blog post (Blogspot PBN),nofollow,commercial,ngwindows.com,https://23cucuc12es.blogspot.com/,2,0.0,2,0,0,,1,172.253.122.132,us,footprint; exact-match commercial anchor,yes
2x9.co,DISAVOW,P1 – Core (disavow),confirmed,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,commercial,performingwindows.com,https://2x9.co/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0.0,2,0,0,,23,118.139.178.200,sg,footprint; farm-IP; exact-match commercial anchor,yes
6rpsskystyrenees.blogspot.com,DISAVOW,P1 – Core (disavow),confirmed,Spam blog post (Blogspot PBN),nofollow,commercial,ngwindows.com,https://6rpsskystyrenees.blogspot.com/,2,0.0,2,0,0,,1,142.250.31.132,us,footprint; exact-match commercial anchor,yes
99backlinksbuy.com,DISAVOW,P1 – Core (disavow),confirmed,Paid-link / backlink-seller site,nofollow,commercial,ngwindows.com,https://99backlinksbuy.com/ashgeoseo/,2,0.0,2,0,0,,3,203.161.54.114,us,footprint; farm-IP; exact-match commercial anchor,yes
9bobob15es.blogspot.com,DISAVOW,P1 – Core (disavow),confirmed,Spam blog post (Blogspot PBN),nofollow,commercial,ngwindows.com,https://9bobob15es.blogspot.com/,2,0.0,2,0,0,,3,142.251.163.132,us,footprint; exact-match commercial anchor,yes
abyoxohg.xyz,DISAVOW,P1 – Core (disavow),confirmed,Multiple spam signals (dead + farm-IP / spam-flag),,empty/blank,,,0.0,0.0,0,0,0,TRUE,4,104.21.96.1,,footprint; is_spam,no (beyond sample)
acquire.co.in,DISAVOW,P1 – Core (disavow),confirmed,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,commercial,thermatrustwindows.com,https://www.acquire.co.in/domains/269465/760de356a7622c409ebb8094b31ff6fe/,2,0.0,2,0,0,,2,92.249.46.138,in,footprint; farm-IP; exact-match commercial anchor,yes
adcreativevideo.com,DISAVOW,P1 – Core (disavow),confirmed,Low-quality / dead domain,dofollow,money/spam,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service roiwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://adcreativevideo.com/all/2479/11.html,2,0.0,2,0,0,,1,172.67.184.163,,paid/spam anchor,yes
