domain,decision,priority,strict_verdict,why,follow,aclass,example_anchor,backlink_url,authority,dr,ascore,traffic,positions,is_spam,links,ip,country,tier_reason,link_checked
18tokyo.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,2,,,"low-quality, no spam signal",no (beyond sample)
a-dinteriors.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://a-dinteriors.com/fiberglass-windows.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
aarlreviews.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,Replacement Windows,http://www.aarlreviews.com/2023/01/money-saving-tips-for-every-homeowner.html,15,0.0,15,0,0,,2,104.21.70.159,,"dofollow, generic anchor — verify",yes
abworo.pics,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,5,188.114.97.2,,"low-quality, no spam signal",no (beyond sample)
adventuresfrugalmom.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,energy-efficient replacement windows,https://adventuresfrugalmom.com/6-ways-to-increase-your-homes-energy-efficiency/,25,0.0,25,0,0,,1,104.21.43.99,,"dofollow, generic anchor — verify",yes
ahimsahouse.org,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,ngwindows-logo,https://ahimsahouse.org/get-involved/partner/our-partners/,24,0.0,24,0,0,,1,209.126.30.63,us,"dofollow, generic anchor — verify",yes
akzent.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,4,,,"low-quality, no spam signal",no (beyond sample)
alpharettatoprated.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Visit website,https://alpharettatoprated.com/biz/ng-windows/,2,0.0,2,0,0,,2,104.21.71.157,,"low-quality, no spam signal",yes
angelaricardo.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,"window company, North Georgia Replacement Windows",https://www.angelaricardo.com/home-appear-brighter/,24,0.0,24,0,0,,1,167.114.89.124,ca,"dofollow, generic anchor — verify",yes
answerism.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,other,See Full Answer,https://answerism.com/who-replaces-fiberglass-windows,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",yes
aozxy168.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,empty/blank,,http://aozxy168.com/4-19.html,0.0,0.0,0,0,0,,4,35.215.144.141,,"low-quality, no spam signal",yes
