domain,sources,confidence,category,dr,ascore,traffic,positions,is_spam,links,ip,country,first,last,evidence
ineed2pee.com,semrush,HIGH,Adult spam,0.0,10,0,0,False,1,216.201.82.231,us,2025-11-10,2026-03-05,footprint: Adult spam
submissivewomendominated.us,ahrefs,HIGH,Adult spam,0.0,0,0,0,False,3,,,2017-11-05,2017-12-10,"footprint: Adult spam | S:dead (auth=0, 0 traffic, 0 keywords)"
bestwebstats.com,semrush,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,False,61,184.168.115.60,sg,2026-02-28,2026-09-01,"footprint: Auto-generated stats / worth-checker | S:link-network IP 184.168.115.60 (+8 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
complaintinfo.com,semrush,HIGH,Auto-generated stats / worth-checker,0.0,6,0,0,False,11,104.21.35.245,,2025-10-06,2026-08-31,footprint: Auto-generated stats / worth-checker | S:no organic traffic/keywords (auth=6)
domainanalysis.org,semrush,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,False,63,184.168.115.60,sg,2026-01-23,2026-09-01,"footprint: Auto-generated stats / worth-checker | S:link-network IP 184.168.115.60 (+8 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
domainsc.com,semrush,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,False,62,184.168.115.60,sg,2026-03-21,2026-08-31,"footprint: Auto-generated stats / worth-checker | S:link-network IP 184.168.115.60 (+8 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
getwebsiteworth.com,semrush,HIGH,Auto-generated stats / worth-checker,0.0,3,0,0,False,57,118.139.178.110,sg,2025-12-01,2026-08-29,"footprint: Auto-generated stats / worth-checker | S:known link-farm IP block | S:dead (auth=3, 0 traffic, 0 keywords)"
gsitestatus.com,semrush,HIGH,Auto-generated stats / worth-checker,0.0,4,0,0,False,4,172.67.136.161,,2026-05-23,2026-05-23,footprint: Auto-generated stats / worth-checker | S:no organic traffic/keywords (auth=4)
seodomains.website,semrush,HIGH,Auto-generated stats / worth-checker,0.0,3,0,0,False,36,172.67.212.159,,2025-12-17,2026-08-29,"footprint: Auto-generated stats / worth-checker | S:dead (auth=3, 0 traffic, 0 keywords)"
websiterace.com,semrush,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,False,41,118.139.176.46,sg,2025-12-28,2026-08-31,"footprint: Auto-generated stats / worth-checker | S:link-network IP 118.139.176.46 (+8 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
websitescrawl.art,semrush,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,False,19,118.139.181.85,sg,2026-03-16,2026-08-30,"footprint: Auto-generated stats / worth-checker | S:link-network IP 118.139.181.85 (+31 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
webworthchecker.cv,semrush,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,False,30,118.139.181.85,sg,2026-03-15,2026-08-29,"footprint: Auto-generated stats / worth-checker | S:link-network IP 118.139.181.85 (+31 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
23cucuc12es.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,172.253.122.132,us,2026-03-08,2026-08-26,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
6rpsskystyrenees.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.250.31.132,us,2026-03-14,2026-08-29,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
9bobob15es.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,3,142.251.163.132,us,2026-03-07,2026-08-30,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
alysonspes.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,10,172.253.139.132,us,2026-03-18,2026-08-23,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
anamorphic-aes.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,172.253.63.132,us,2026-03-12,2026-08-08,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
arceofswedenes.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.251.111.132,us,2026-03-20,2026-08-14,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
bifoldingdoorsraganamo.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,192.178.155.132,us,2026-05-09,2026-05-09,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
burnersgamershitasd.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,149,142.251.163.132,us,2026-03-13,2026-08-31,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
carwindowreplacementfukiyabo.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,172.253.63.132,us,2026-03-15,2026-03-15,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
carwindowreplacementnosatsuji.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.251.111.132,us,2026-04-09,2026-04-09,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
carwindowreplacementznali.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,172.253.115.132,us,2026-03-15,2026-03-15,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
chlamydia-genome.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,64.233.180.132,us,2026-03-14,2026-03-14,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
customdoorspeisara.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.251.111.132,us,2026-04-05,2026-04-05,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
dommonjilike.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,7,172.253.122.132,us,2026-03-17,2026-08-28,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
doorsinteriorkakerumo.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,142.251.167.132,us,2026-08-13,2026-08-13,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
doubleentrydoorspokusubo.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,6,192.178.218.132,us,2026-03-21,2026-04-19,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
doublehungwindownome.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,172.253.115.132,us,2026-06-24,2026-06-24,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
doublehungwindowwosukana.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,192.178.218.132,us,2026-04-24,2026-04-24,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
fiberglassdoorpantai.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,172.253.139.132,us,2026-08-02,2026-08-02,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
fiberglassdoorseshizakino.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,192.179.18.132,us,2026-08-04,2026-08-04,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
glassreplacementkaev.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,4,172.253.139.132,us,2026-03-07,2026-07-23,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
glassreplacementlnenbire.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,192.178.218.132,us,2026-04-07,2026-04-26,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
glassreplacementnemurashi.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,64.233.180.132,us,2026-08-24,2026-08-24,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
glassreplacementsiholo.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,3,172.253.63.132,us,2026-05-18,2026-07-28,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
glazeddoorsrikanmu.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,9,142.250.31.132,us,2026-03-09,2026-08-29,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
innocyscx.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,36,172.253.63.132,us,2026-03-16,2026-09-01,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
insurancesolutionforyouesv.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,8,172.253.122.132,us,2026-03-17,2026-08-28,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
interiorfrenchdoorsederuma.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.251.163.132,us,2026-06-29,2026-06-29,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
knotknastylimddsd.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.251.16.132,us,2026-03-01,2026-03-01,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
mahoganykeishina.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,142.251.163.132,us,2026-06-13,2026-06-13,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
morisova.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,64.233.180.132,us,2026-01-20,2026-03-09,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
movil-13-11-2021.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,26,142.250.31.132,us,2026-02-28,2026-08-29,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
