domain,sources,decision,confidence,category,dr,ascore,traffic,positions,is_spam,links,ip,country,first,last,topical,signals,evidence,qa_note
ineed2pee.com,semrush,DISAVOW,HIGH,Adult spam,0.0,10,0,0,,1,216.201.82.231,us,2025-11-10,2026-03-05,,0,footprint: Adult spam,
submissivewomendominated.us,ahrefs,DISAVOW,HIGH,Adult spam,0.0,0,0,0,,3,,,2017-11-05,2017-12-10,,1,"footprint: Adult spam | dead (auth=0,0 traffic,0 kw)",
bestwebstats.com,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,,61,184.168.115.60,sg,2026-02-28,2026-09-01,,3,"footprint: Auto-generated stats / worth-checker | link-network IP 184.168.115.60 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
complaintinfo.com,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,6,0,0,,11,104.21.35.245,,2025-10-06,2026-08-31,,1,footprint: Auto-generated stats / worth-checker | no organic traffic/kw (auth=6),
domainanalysis.org,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,,63,184.168.115.60,sg,2026-01-23,2026-09-01,,3,"footprint: Auto-generated stats / worth-checker | link-network IP 184.168.115.60 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
domainsc.com,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,,62,184.168.115.60,sg,2026-03-21,2026-08-31,,3,"footprint: Auto-generated stats / worth-checker | link-network IP 184.168.115.60 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
getwebsiteworth.com,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,3,0,0,,57,118.139.178.110,sg,2025-12-01,2026-08-29,,2,"footprint: Auto-generated stats / worth-checker | known link-farm IP block | dead (auth=3,0 traffic,0 kw)",
gsitestatus.com,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,4,0,0,,4,172.67.136.161,,2026-05-23,2026-05-23,,1,footprint: Auto-generated stats / worth-checker | no organic traffic/kw (auth=4),
seodomains.website,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,3,0,0,,36,172.67.212.159,,2025-12-17,2026-08-29,,1,"footprint: Auto-generated stats / worth-checker | dead (auth=3,0 traffic,0 kw)",
websiterace.com,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,,41,118.139.176.46,sg,2025-12-28,2026-08-31,,3,"footprint: Auto-generated stats / worth-checker | link-network IP 118.139.176.46 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
websitescrawl.art,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,,19,118.139.181.85,sg,2026-03-16,2026-08-30,,3,"footprint: Auto-generated stats / worth-checker | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
webworthchecker.cv,semrush,DISAVOW,HIGH,Auto-generated stats / worth-checker,0.0,2,0,0,,30,118.139.181.85,sg,2026-03-15,2026-08-29,,3,"footprint: Auto-generated stats / worth-checker | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
23cucuc12es.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,172.253.122.132,us,2026-03-08,2026-08-26,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
6rpsskystyrenees.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.250.31.132,us,2026-03-14,2026-08-29,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
9bobob15es.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,3,142.251.163.132,us,2026-03-07,2026-08-30,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
alysonspes.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,10,172.253.139.132,us,2026-03-18,2026-08-23,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
anamorphic-aes.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,172.253.63.132,us,2026-03-12,2026-08-08,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
arceofswedenes.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.251.111.132,us,2026-03-20,2026-08-14,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
bifoldingdoorsraganamo.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,192.178.155.132,us,2026-05-09,2026-05-09,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
burnersgamershitasd.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,149,142.251.163.132,us,2026-03-13,2026-08-31,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
carwindowreplacementfukiyabo.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,172.253.63.132,us,2026-03-15,2026-03-15,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
carwindowreplacementnosatsuji.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.251.111.132,us,2026-04-09,2026-04-09,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
carwindowreplacementznali.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,172.253.115.132,us,2026-03-15,2026-03-15,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
chlamydia-genome.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,64.233.180.132,us,2026-03-14,2026-03-14,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
customdoorspeisara.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.251.111.132,us,2026-04-05,2026-04-05,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
dommonjilike.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,7,172.253.122.132,us,2026-03-17,2026-08-28,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
doorsinteriorkakerumo.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,142.251.167.132,us,2026-08-13,2026-08-13,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
doubleentrydoorspokusubo.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,6,192.178.218.132,us,2026-03-21,2026-04-19,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
doublehungwindownome.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,172.253.115.132,us,2026-06-24,2026-06-24,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
doublehungwindowwosukana.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,192.178.218.132,us,2026-04-24,2026-04-24,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
fiberglassdoorpantai.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,172.253.139.132,us,2026-08-02,2026-08-02,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
fiberglassdoorseshizakino.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,192.179.18.132,us,2026-08-04,2026-08-04,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glassreplacementkaev.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,4,172.253.139.132,us,2026-03-07,2026-07-23,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glassreplacementlnenbire.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,192.178.218.132,us,2026-04-07,2026-04-26,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glassreplacementnemurashi.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,64.233.180.132,us,2026-08-24,2026-08-24,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glassreplacementsiholo.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,3,172.253.63.132,us,2026-05-18,2026-07-28,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glazeddoorsrikanmu.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,9,142.250.31.132,us,2026-03-09,2026-08-29,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
innocyscx.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,36,172.253.63.132,us,2026-03-16,2026-09-01,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
insurancesolutionforyouesv.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,8,172.253.122.132,us,2026-03-17,2026-08-28,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
interiorfrenchdoorsederuma.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.251.163.132,us,2026-06-29,2026-06-29,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
knotknastylimddsd.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.251.16.132,us,2026-03-01,2026-03-01,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
mahoganykeishina.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,142.251.163.132,us,2026-06-13,2026-06-13,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
morisova.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,64.233.180.132,us,2026-01-20,2026-03-09,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
movil-13-11-2021.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,26,142.250.31.132,us,2026-02-28,2026-08-29,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
