Website,Type,Semrush AS,Organic Traffic (global desktop),US Traffic (desktop),TF (sheet),Price ($)
spacedaily.com,News,47,61358,28236,66,240
citybiz.co,News,42,17657,13203,35,150
triad-city-beat.com,News,41,38121,19591,26,200
breakingac.com,News,37,23164,18991,31,65
iredellfreenews.com,News,38,25765,24931,32,160
northpennnow.com,News,35,12229,10779,31,90
edhat.com,News,41,33018,29849,27,240
japantimes.co.jp,News,57,620913,115527,48,190
ssojet.com,Cyber,33,6514,3549,20,240
onlinethreatalerts.com,Cyber,33,4672,3666,23,30
womentech.net,Tech,38,9465,4853,28,250
ourcodeworld.com,Tech,39,36912,24653,25,150
talkandroid.com,Tech,34,13246,5701,31,180
index.dev,Tech,33,3333,1113,24,190
danetsoft.com,Tech,39,25986,8613,39,190
radiologykey.com,Medical,42,158138,59069,23,250
medindia.net,Medical,62,732369,84946,49,250
finance.yahoo.com,PR syndication,100,118719168,64995520,79,250
markets.businessinsider.com,PR syndication,86,4752028,2679157,39,150
