category_name;rating
/Business & Industrial;58
/People & Society;52
/Jobs & Education;43
/Law & Government;43
/Arts & Entertainment;43
/Internet & Telecom;41
/News;35
/Law & Government/Government;25
/Internet & Telecom/Web Services;25
/Shopping;24
/Jobs & Education/Education;20
/People & Society/Family & Relationships;18
/People & Society/Social Issues & Advocacy;17
/Jobs & Education/Jobs;16
/Reference;16
/Jobs & Education/Jobs/Job Listings;14
/Law & Government/Government/State & Local Government;12
/People & Society/Family & Relationships/Family;12
/Travel;12
/News/Politics;11
/Online Communities;11
/People & Society/Family & Relationships/Family/Parenting;11
/Computers & Electronics;11
/Books & Literature;11
/Beauty & Fitness;11
