category_name;rating
/Business & Industrial;101
/Internet & Telecom;95
/People & Society;87
/Arts & Entertainment;82
/Internet & Telecom/Web Services;68
/Jobs & Education;64
/News;57
/Shopping;49
/Law & Government;46
/Computers & Electronics;37
/People & Society/Family & Relationships;36
/Reference;33
/Travel;29
/People & Society/Family & Relationships/Family/Parenting;27
/People & Society/Family & Relationships/Family;27
/Jobs & Education/Education;26
/Online Communities;24
/Internet & Telecom/Web Services/Search Engine Optimization & Marketing;24
/Internet & Telecom/Web Services/Web Stats & Analytics;22
/Books & Literature;20
/Jobs & Education/Jobs;20
/Internet & Telecom/Web Services/Web Hosting & Domain Registration;19
/Arts & Entertainment/TV & Video;19
/Computers & Electronics/Software;18
/Internet & Telecom/Web Services/Web Design & Development;18
