category_name;rating
/Business & Industrial;104
/Internet & Telecom;85
/Arts & Entertainment;69
/People & Society;68
/Internet & Telecom/Web Services;67
/Jobs & Education;61
/Shopping;56
/News;47
/Law & Government;37
/Jobs & Education/Education;36
/Computers & Electronics;34
/Reference;30
/Business & Industrial/Business Services;25
/Travel;24
/Jobs & Education/Jobs;22
/Internet & Telecom/Web Services/Search Engine Optimization & Marketing;20
/Jobs & Education/Education/Standardized & Admissions Tests;20
/People & Society/Family & Relationships;20
/Jobs & Education/Jobs/Job Listings;19
/People & Society/Family & Relationships/Family/Parenting;18
/Internet & Telecom/Web Services/Web Hosting & Domain Registration;17
/Books & Literature;17
/Internet & Telecom/Web Services/Web Stats & Analytics;17
/People & Society/Family & Relationships/Family;16
/Jobs & Education/Jobs/Job Listings/Education Jobs;15
