category_name;rating
/People & Society;513
/Law & Government;480
/Jobs & Education;436
/Law & Government/Government;369
/News;345
/Business & Industrial;339
/Internet & Telecom;249
/People & Society/Social Issues & Advocacy;241
/Arts & Entertainment;224
/Law & Government/Government/State & Local Government;221
/People & Society/Family & Relationships;210
/Jobs & Education/Education;201
/People & Society/Family & Relationships/Family/Parenting;185
/People & Society/Family & Relationships/Family;177
/People & Society/Family & Relationships/Family/Parenting/Adoption;173
/News/Politics;150
/Jobs & Education/Jobs;142
/Law & Government/Social Services;141
/People & Society/Social Issues & Advocacy/Charity & Philanthropy;141
/Internet & Telecom/Web Services;130
/Reference;126
/Jobs & Education/Jobs/Job Listings;119
/Jobs & Education/Education/Standardized & Admissions Tests;100
/News/Politics/Campaigns & Elections;95
/People & Society/Social Issues & Advocacy/Poverty & Hunger;93
