category_name;rating
/Arts & Entertainment;225
/People & Society;206
/Business & Industrial;191
/Internet & Telecom;152
/Shopping;152
/Internet & Telecom/Web Services;95
/Beauty & Fitness;91
/Books & Literature;83
/Jobs & Education;81
/People & Society/Family & Relationships;78
/News;78
/Hobbies & Leisure;73
/Online Communities;53
/Computers & Electronics;51
/Travel;51
/Reference;44
/Health;43
/People & Society/Family & Relationships/Family;42
/Jobs & Education/Education;41
/People & Society/Family & Relationships/Family/Parenting;41
/Law & Government;40
/Arts & Entertainment/TV & Video;36
/Home & Garden;34
/Food & Drink;31
/Beauty & Fitness/Fashion & Style;30
