category_name;rating
/Arts & Entertainment;249
/Business & Industrial;216
/People & Society;215
/Internet & Telecom;166
/Shopping;163
/Internet & Telecom/Web Services;106
/Jobs & Education;95
/News;91
/Books & Literature;86
/Beauty & Fitness;85
/People & Society/Family & Relationships;83
/Hobbies & Leisure;74
/Travel;64
/Law & Government;57
/Computers & Electronics;56
/Online Communities;55
/Reference;49
/People & Society/Family & Relationships/Family/Parenting;47
/Jobs & Education/Education;45
/People & Society/Family & Relationships/Family;42
/Food & Drink;37
/Health;36
/Travel/Tourist Destinations;36
/Arts & Entertainment/TV & Video;35
/Home & Garden;32
