category_name;rating
/Arts & Entertainment;117
/Business & Industrial;116
/Internet & Telecom;107
/People & Society;104
/News;74
/Shopping;72
/Internet & Telecom/Web Services;69
/Jobs & Education;60
/Law & Government;45
/Books & Literature;41
/Travel;38
/Reference;34
/Computers & Electronics;34
/People & Society/Family & Relationships;33
/Beauty & Fitness;33
/Hobbies & Leisure;26
/Online Communities;25
/Jobs & Education/Education;25
/People & Society/Family & Relationships/Family;23
/News/Newspapers;22
/People & Society/Family & Relationships/Family/Parenting;21
/News/Local News;19
/Travel/Tourist Destinations;19
/Arts & Entertainment/TV & Video;17
/Health;17
