category_name;rating
/Arts & Entertainment;223
/People & Society;201
/Business & Industrial;187
/Shopping;153
/Internet & Telecom;141
/Internet & Telecom/Web Services;88
/Beauty & Fitness;87
/Books & Literature;86
/People & Society/Family & Relationships;78
/News;77
/Jobs & Education;70
/Hobbies & Leisure;68
/Travel;54
/Online Communities;51
/Reference;46
/People & Society/Family & Relationships/Family/Parenting;44
/Computers & Electronics;42
/People & Society/Family & Relationships/Family;41
/Health;40
/Law & Government;38
/Arts & Entertainment/TV & Video;36
/Jobs & Education/Education;36
/Home & Garden;35
/Food & Drink;31
/Shopping/Apparel;30
