category_name;rating
/Internet & Telecom;37
/People & Society;34
/Business & Industrial;33
/Arts & Entertainment;32
/Internet & Telecom/Web Services;29
/Jobs & Education;24
/News;24
/Shopping;19
/Law & Government;19
/Reference;16
/Internet & Telecom/Web Services/Web Stats & Analytics;10
/Computers & Electronics;9
/Internet & Telecom/Web Services/Search Engine Optimization & Marketing;9
/Online Communities;8
/Jobs & Education/Education;8
/Travel;7
/Jobs & Education/Jobs;6
/People & Society/Social Issues & Advocacy;6
/Internet & Telecom/Web Services/Web Hosting & Domain Registration;6
/Jobs & Education/Jobs/Job Listings;6
/Business & Industrial/Business Operations;5
/Arts & Entertainment/Events & Listings;5
/Internet & Telecom/Web Services/Web Design & Development;5
/Arts & Entertainment/TV & Video/TV Shows & Programs;5
/People & Society/Family & Relationships;5
