category_name;rating
/Arts & Entertainment;464
/People & Society;460
/Business & Industrial;429
/Internet & Telecom;349
/Shopping;288
/Internet & Telecom/Web Services;230
/Jobs & Education;225
/News;217
/Books & Literature;161
/Beauty & Fitness;160
/People & Society/Family & Relationships;152
/Law & Government;148
/Hobbies & Leisure;124
/Travel;121
/Online Communities;108
/Jobs & Education/Education;105
/Reference;105
/Computers & Electronics;97
/People & Society/Family & Relationships/Family/Parenting;93
/People & Society/Family & Relationships/Family;90
/Health;77
/Arts & Entertainment/TV & Video;71
/Travel/Tourist Destinations;65
/News/Newspapers;61
/Law & Government/Government;58
