date;backlinks_num;domains_num;score
1788235200;1743;420;36
1785556800;1843;358;36
1782878400;1672;325;37
1780286400;1390;296;35
1777608000;1268;269;33
1775016000;1151;243;25
1772341200;832;211;12
1769922000;486;147;10
1767243600;28;24;2
1764565200;26;24;2
1761969600;21;21;2
1759291200;22;21;2
1756699200;22;21;0
1754020800;20;19;0
1751342400;16;15;0
1748750400;15;14;0
1746072000;16;15;0
1743480000;14;13;0
1740805200;13;12;0
1738386000;11;11;0
1735707600;10;10;0
1733029200;11;11;0
1730433600;9;9;0
1727755200;8;8;0
1725163200;8;8;0
1722484800;7;7;0
1719806400;6;6;0
1717214400;2;2;0
1714536000;2;2;0
1711944000;2;2;0
