date;backlinks_num;domains_num;score
1788235200;127531;813;29
1785556800;140217;715;30
1782878400;155084;670;30
1780286400;153401;683;32
1777608000;163219;693;32
1775016000;159581;694;29
1772341200;162230;707;29
1769922000;160946;696;29
1767243600;156826;769;28
1764565200;151490;774;29
1761969600;148594;787;29
1759291200;143706;825;29
1756699200;139761;772;30
1754020800;136425;780;28
1751342400;132999;754;27
1748750400;133690;712;27
1746072000;134625;703;28
1743480000;134844;686;28
1740805200;133835;666;28
1738386000;135652;680;28
1735707600;142037;711;28
1733029200;146954;741;28
1730433600;154394;758;30
1727755200;160527;764;29
1725163200;168725;790;28
1722484800;184956;877;28
1719806400;196221;916;28
1717214400;202757;896;28
1714536000;219912;920;27
1711944000;235149;928;26
