date;backlinks_num;domains_num;score
1788235200;6731;818;29
1785556800;6330;684;29
1782878400;6191;662;29
1780286400;6380;726;30
1777608000;6180;703;31
1775016000;5941;691;30
1772341200;5590;670;31
1769922000;4999;650;31
1767243600;4820;674;32
1764565200;4476;665;32
1761969600;4272;633;32
1759291200;4294;622;32
1756699200;4138;535;32
1754020800;4120;519;32
1751342400;4171;522;31
1748750400;4200;503;31
1746072000;4169;484;30
1743480000;4110;472;29
1740805200;3729;450;30
1738386000;3659;453;29
1735707600;3638;461;28
1733029200;3741;477;28
1730433600;3795;477;29
1727755200;3927;486;30
1725163200;5063;485;29
1722484800;5985;508;29
1719806400;6325;498;29
1717214400;6366;470;28
1714536000;6949;473;27
1711944000;7286;478;27
