date;backlinks_num;domains_num;score
1788235200;18972;1892;39
1785556800;18431;1822;39
1782878400;18382;1781;38
1780286400;17993;1779;38
1777608000;18538;1784;39
1775016000;17217;1765;38
1772341200;16435;1691;38
1769922000;16394;1671;38
1767243600;16090;1687;38
1764565200;16635;1689;38
1761969600;16659;1702;37
1759291200;16305;1723;38
1756699200;14723;1683;38
1754020800;15240;1712;38
1751342400;14932;1717;39
1748750400;14583;1720;39
1746072000;14549;1681;41
1743480000;13388;1656;42
1740805200;12994;1663;42
1738386000;12321;1670;41
1735707600;12250;1681;40
1733029200;12625;1722;40
1730433600;13010;1724;40
1727755200;14624;1696;40
1725163200;16609;1704;40
1722484800;19810;1762;40
1719806400;21283;1795;40
1717214400;22503;1754;39
1714536000;24124;1747;39
1711944000;30258;1724;38
