date;backlinks_num;domains_num;score
1788235200;5210;847;28
1785556800;5061;761;28
1782878400;5114;739;28
1780286400;5082;733;29
1777608000;4744;745;31
1775016000;3626;737;31
1772341200;3387;718;31
1769922000;3418;704;31
1767243600;3603;728;31
1764565200;3782;708;30
1761969600;3811;697;32
1759291200;3903;694;31
1756699200;3806;696;34
1754020800;2982;690;33
1751342400;3082;663;31
1748750400;3195;655;31
1746072000;3266;656;31
1743480000;3370;653;31
1740805200;3260;627;31
1738386000;3243;657;30
1735707600;3079;668;30
1733029200;3227;688;30
1730433600;3135;715;30
1727755200;4050;732;30
1725163200;5084;744;27
1722484800;6273;781;30
1719806400;7070;778;30
1717214400;7686;763;29
1714536000;8157;760;29
1711944000;8712;755;29
