date;backlinks_num;domains_num;score
1788235200;7140;895;24
1785556800;7173;852;24
1782878400;7132;804;24
1780286400;7224;810;24
1777608000;7264;805;25
1775016000;7233;797;25
1772341200;7182;778;24
1769922000;7081;741;24
1767243600;7005;748;24
1764565200;7024;731;24
1761969600;6992;723;24
1759291200;7032;723;24
1756699200;7084;717;24
1754020800;7115;706;24
1751342400;7088;688;24
1748750400;7080;678;24
1746072000;7026;662;24
1743480000;7078;658;24
1740805200;7013;629;24
1738386000;6977;635;25
1735707600;7051;647;24
1733029200;7176;654;23
1730433600;6782;652;23
1727755200;6814;644;26
1725163200;6910;634;26
1722484800;7562;669;26
1719806400;7667;659;25
1717214400;7801;622;24
1714536000;7874;613;24
1711944000;7774;611;24
