date;backlinks_num;domains_num;score
1788235200;1635;633;29
1785556800;1735;632;29
1782878400;1817;615;29
1780286400;1950;620;28
1777608000;2054;604;28
1775016000;2028;589;29
1772341200;1979;566;28
1769922000;1927;543;28
1767243600;2015;576;28
1764565200;2032;568;28
1761969600;1954;563;28
1759291200;1899;558;28
1756699200;2045;558;28
1754020800;2108;568;27
1751342400;2131;560;27
1748750400;2137;559;27
1746072000;2238;553;28
1743480000;2314;553;28
1740805200;2336;534;28
1738386000;2337;564;27
1735707600;2237;577;27
1733029200;2302;607;27
1730433600;2222;599;26
1727755200;2114;585;26
1725163200;2095;580;26
1722484800;2470;595;26
1719806400;2515;595;26
1717214400;2510;556;25
1714536000;2688;549;25
1711944000;2796;548;25
