date;backlinks_num;domains_num;score
1788235200;1150;825;24
1785556800;1088;762;24
1782878400;1195;730;24
1780286400;1339;718;22
1777608000;1456;707;22
1775016000;1477;687;23
1772341200;1417;660;22
1769922000;1376;628;22
1767243600;1411;637;23
1764565200;1352;631;24
1761969600;1256;629;24
1759291200;1154;638;26
1756699200;979;628;24
1754020800;1011;632;24
1751342400;976;615;25
1748750400;943;595;25
1746072000;927;595;24
1743480000;923;583;24
1740805200;912;582;27
1738386000;943;599;26
1735707600;1032;623;27
1733029200;1149;661;25
1730433600;1204;671;25
1727755200;1293;662;25
1725163200;1328;652;25
1722484800;1821;681;25
1719806400;1936;684;24
1717214400;2008;634;23
1714536000;2070;626;22
1711944000;2132;618;22
