date;backlinks_num;domains_num;score
1788235200;1270;300;23
1785556800;1237;235;23
1782878400;1203;233;23
1780286400;1086;240;23
1777608000;1094;240;23
1775016000;1086;234;23
1772341200;1091;244;22
1769922000;1041;233;22
1767243600;1029;252;21
1764565200;990;237;22
1761969600;982;224;21
1759291200;972;230;22
1756699200;980;235;21
1754020800;1050;243;20
1751342400;1087;259;22
1748750400;1055;264;22
1746072000;1069;278;22
1743480000;1093;295;22
1740805200;1074;293;21
1738386000;1125;348;21
1735707600;1194;406;21
1733029200;1377;499;20
1730433600;1514;548;19
1727755200;1712;625;19
1725163200;1820;676;19
1722484800;2011;744;19
1719806400;2144;783;19
1717214400;2139;775;16
1714536000;2115;785;16
1711944000;2095;799;16
