date;backlinks_num;domains_num;score
1788235200;6556;1726;33
1785556800;6411;1681;34
1782878400;6250;1639;34
1780286400;6439;1684;34
1777608000;6639;1698;34
1775016000;6668;1720;33
1772341200;6600;1707;33
1769922000;6545;1678;33
1767243600;6754;1732;33
1764565200;6907;1717;32
1761969600;7133;1739;33
1759291200;7136;1753;33
1756699200;7029;1679;33
1754020800;6618;1687;32
1751342400;6580;1674;32
1748750400;6655;1663;32
1746072000;7242;1650;33
1743480000;7839;1618;33
1740805200;8187;1572;33
1738386000;9330;1594;32
1735707600;11221;1603;32
1733029200;12797;1631;33
1730433600;14293;1622;33
1727755200;15809;1632;33
1725163200;16460;1636;32
1722484800;17599;1669;32
1719806400;20140;1666;32
1717214400;21401;1634;32
1714536000;22093;1622;31
1711944000;22592;1604;31
