domain_ascore;domain;backlinks_num;domain_trust_score;ip;country;first_seen;last_seen
100;apple.com;1;100;23.222.196.33;us;1778461823;1787520929
100;bbc.com;1;100;151.101.0.81;us;1780038715;1787172394
100;google.com;1;100;216.239.34.177;us;1789414567;1789414567
100;indeed.com;1;100;162.159.130.67;us;1787754505;1789503130
100;theguardian.com;1;100;151.101.65.111;us;1780341358;1786742753
86;substack.com;1;86;104.18.37.200;;1773406992;1788865037
85;ya.ru;1;85;5.255.255.242;ru;1789409053;1789409053
82;goodhousekeeping.com;1;82;151.101.192.155;us;1774599690;1789275708
73;liverpoolecho.co.uk;4;73;3.171.38.62;us;1778213097;1789758297
72;walesonline.co.uk;1;72;13.35.78.106;us;1780935838;1780935838
70;tweakers.net;1;70;2.20.135.163;tr;1784207575;1788729432
69;internetmatters.org;11;69;104.26.0.5;;1775195369;1789185258
64;pitchbook.com;1;64;162.159.140.76;us;1774181868;1785044647
61;leicestermercury.co.uk;2;61;3.171.38.49;us;1778748847;1789074968
57;buzzsprout.com;193;57;104.16.180.21;;1773255305;1790034413
57;womanandhome.com;1;57;151.101.130.114;us;1784623696;1789942619
53;dovepress.com;1;53;104.18.42.79;;1779553439;1788670680
51;pocketcasts.com;1;51;3.170.3.123;us;1775257613;1780500627
50;buckinghamshire.gov.uk;1;50;104.20.34.237;;1774772480;1788890662
50;humanium.org;4;50;93.88.254.10;ch;1784991242;1789779267
50;leadiq.com;2;50;108.157.142.84;us;1786900591;1786900591
49;prospeo.io;1;49;13.226.209.58;us;1773044385;1787520166
49;zeno.fm;1;49;15.235.14.140;ca;1787664101;1787664101
48;fwi.co.uk;1;48;40.112.69.156;ie;1775887363;1788203294
48;lancs.live;1;48;3.162.125.67;us;1784998805;1790078091
47;inyourarea.co.uk;1;47;18.154.227.129;us;1773689905;1789263018
47;justanswer.co.uk;2;47;104.16.92.40;;1784317211;1784903043
47;myjobscotland.gov.uk;5;47;18.132.188.60;gb;1780605451;1789111764
46;cheshire-live.co.uk;1;46;3.167.88.73;us;1785682935;1785682935
46;sandwell.gov.uk;54;46;104.26.4.178;;1783417531;1787933545
45;ezilon.com;1;45;104.20.15.162;;1772088469;1789602117
45;gransnet.com;1;45;104.20.32.54;;1778179280;1785243137
45;luton.gov.uk;3;45;172.67.75.23;;1782848307;1785305382
44;havering.gov.uk;1;44;104.26.5.178;;1783241238;1783992678
44;wolverhampton.gov.uk;77;44;104.26.4.178;;1782856735;1787028609
42;lancasterguardian.co.uk;2;42;104.18.35.12;;1783753312;1788963132
41;growjo.com;3;41;104.26.13.109;;1771001470;1787462090
41;wiza.co;2;41;172.66.43.61;;1775180793;1787576632
40;edublogs.org;6;40;104.16.146.25;;1778494126;1787781045
40;glarity.app;1;40;172.67.186.190;;1787042571;1787042571
