ip;country;domains_num;backlinks_num;first_seen;last_seen
159.198.75.134;us;25;25;1770898083;1778534606
195.20.19.178;md;17;28;1766998851;1789752769
118.139.176.46;sg;8;16;1771282672;1789975864
142.251.167.132;us;8;12;1772250026;1789976091
147.135.215.43;fr;8;18;1768416627;1781907197
142.251.111.132;us;7;7;1772864301;1776832266
184.168.115.60;sg;7;16;1772973708;1789918603
67.223.118.29;us;6;37;1770993870;1778541492
104.26.5.178;;6;53;1781549009;1785630100
118.139.178.200;sg;6;12;1771091879;1789992620
35.197.236.68;gb;5;10;1770316257;1789571901
64.233.180.132;us;5;8;1770906460;1776009092
104.207.79.34;us;5;5;1789842616;1790065446
118.139.181.85;sg;5;7;1770410759;1784816360
192.178.155.132;us;5;8;1772662039;1778481251
104.26.4.178;;4;43;1781841245;1787933545
142.251.16.132;us;4;7;1772387693;1777305296
172.67.75.23;;4;47;1782848307;1786874060
172.253.62.132;us;4;5;1772531417;1778547238
172.253.63.132;us;4;6;1773267287;1774999130
172.253.122.132;us;4;5;1772385604;1789936634
172.253.139.132;us;4;4;1772331309;1775594631
192.178.218.132;us;4;7;1772407650;1777150727
66.29.152.77;us;3;10;1770884541;1779327005
142.251.179.132;us;3;9;1772255699;1790064431
172.253.115.132;us;3;4;1772886677;1790041993
13.226.238.39;us;2;98;1770310387;1789938441
104.207.79.38;us;2;2;1789866714;1790079202
118.139.177.45;sg;2;4;1771129656;1778463855
118.139.181.255;sg;2;5;1771329537;1778107292
142.250.31.132;us;2;2;1773354437;1777729897
172.64.152.244;;2;2;1781654187;1788692414
184.168.111.168;sg;2;3;1771737876;1772872374
192.0.78.25;us;2;2;1773398445;1789014347
203.161.54.114;us;2;39;1771439086;1778541356
209.59.180.156;us;2;7;1774487635;1789623903
2.20.135.163;tr;1;1;1784207575;1788729432
3.9.67.158;gb;1;1;1775551490;1780301931
3.148.220.57;us;1;1;1788086814;1789480191
3.162.125.67;us;1;1;1784998805;1790078091
3.167.56.7;us;1;2;1782746421;1789769114
3.167.69.84;us;1;1;1784259187;1790062285
3.167.88.73;us;1;1;1785682935;1785682935
3.167.112.29;us;1;1;1790011427;1790011427
3.167.112.49;us;1;1;1773966358;1789825620
3.170.3.123;us;1;1;1775257613;1780500627
3.171.38.49;us;1;1;1781719737;1789074968
3.171.38.62;us;1;2;1778213097;1789758297
3.171.38.64;us;1;1;1778748847;1788894844
3.171.38.106;us;1;2;1779811560;1789616650
