domain;domain_ascore;domain_trust_score;backlinks_num;ip;country;first_seen;last_seen
apple.com;100;100;1;23.222.196.33;us;1778461823;1787520929
bbc.com;100;100;1;151.101.0.81;us;1780038715;1787172394
google.com;100;100;1;216.239.34.177;us;1789414567;1789414567
indeed.com;100;100;1;162.159.130.67;us;1787754505;1789503130
theguardian.com;100;100;1;151.101.65.111;us;1780341358;1786742753
substack.com;86;86;1;104.18.37.200;;1773406992;1788865037
ya.ru;85;85;1;5.255.255.242;ru;1789409053;1789409053
goodhousekeeping.com;82;82;1;151.101.192.155;us;1774599690;1789275708
liverpoolecho.co.uk;73;73;4;3.171.38.62;us;1778213097;1789758297
walesonline.co.uk;72;72;1;13.35.78.106;us;1780935838;1780935838
tweakers.net;70;70;1;2.20.135.163;tr;1784207575;1788729432
internetmatters.org;69;69;11;104.26.0.5;;1775195369;1789185258
pitchbook.com;64;64;1;162.159.140.76;us;1774181868;1785044647
leicestermercury.co.uk;61;61;2;3.171.38.49;us;1778748847;1789074968
buzzsprout.com;57;57;193;104.16.180.21;;1773255305;1790034413
womanandhome.com;57;57;1;151.101.130.114;us;1784623696;1789942619
dovepress.com;53;53;1;104.18.42.79;;1779553439;1788670680
pocketcasts.com;51;51;1;3.170.3.123;us;1775257613;1780500627
buckinghamshire.gov.uk;50;50;1;104.20.34.237;;1774772480;1788890662
humanium.org;50;50;4;93.88.254.10;ch;1784991242;1789779267
leadiq.com;50;50;2;108.157.142.84;us;1786900591;1786900591
prospeo.io;49;49;1;13.226.209.58;us;1773044385;1787520166
zeno.fm;49;49;1;15.235.14.140;ca;1787664101;1787664101
fwi.co.uk;48;48;1;40.112.69.156;ie;1775887363;1788203294
lancs.live;48;48;1;3.162.125.67;us;1784998805;1790078091
inyourarea.co.uk;47;47;1;18.154.227.129;us;1773689905;1789263018
justanswer.co.uk;47;47;2;104.16.92.40;;1784317211;1784903043
myjobscotland.gov.uk;47;47;5;18.132.188.60;gb;1780605451;1789111764
cheshire-live.co.uk;46;46;1;3.167.88.73;us;1785682935;1785682935
sandwell.gov.uk;46;46;54;104.26.4.178;;1783417531;1787933545
ezilon.com;45;45;1;104.20.15.162;;1772088469;1789602117
gransnet.com;45;45;1;104.20.32.54;;1778179280;1785243137
luton.gov.uk;45;45;3;172.67.75.23;;1782848307;1785305382
havering.gov.uk;44;44;1;104.26.5.178;;1783241238;1783992678
wolverhampton.gov.uk;44;44;77;104.26.4.178;;1782856735;1787028609
lancasterguardian.co.uk;42;42;2;104.18.35.12;;1783753312;1788963132
growjo.com;41;41;3;104.26.13.109;;1771001470;1787462090
wiza.co;41;41;2;172.66.43.61;;1775180793;1787576632
edublogs.org;40;40;6;104.16.146.25;;1778494126;1787781045
glarity.app;40;40;1;172.67.186.190;;1787042571;1787042571
goodpods.com;40;40;1;172.66.40.244;;1774743276;1774743276
xtra.com.my;39;39;2;104.18.9.134;;1785331056;1788893467
cocodoc.com;38;38;1;172.67.221.127;;1779464480;1783694604
aff.org.uk;37;37;1;46.183.12.239;gb;1774787773;1789530522
ireland-live.ie;36;36;2;172.64.152.244;;1772717952;1787553654
manchester.sch.uk;36;36;1;188.166.136.90;gb;1778025036;1786847401
mkfm.com;36;36;1;172.67.171.238;;1772696593;1789323392
nationalfosteringgroup.co.uk;36;36;3;18.160.10.19;us;1789712892;1790076876
podcastrepublic.net;36;36;1;67.205.172.54;us;1775098250;1784663697
companiesintheuk.co.uk;35;35;2;104.26.8.147;;1771971605;1787061635
dudleyci.co.uk;35;35;3;138.68.142.221;gb;1782861612;1788727565
mettle.co.uk;35;35;1;13.42.232.188;gb;1773688757;1790026003
clubhubuk.co.uk;34;34;1;172.67.181.127;;1787499889;1789228944
greatbritishfoodfestival.com;34;34;4;89.116.107.7;gb;1782457374;1789768117
nff.org.uk;34;34;1;192.124.249.167;us;1776357737;1789239751
podscan.fm;34;34;2;104.26.5.237;;1775586364;1775586364
corambaaf.org.uk;33;33;4;80.87.128.100;gb;1777315566;1790009057
lookwhatmomfound.com;33;33;1;144.202.51.74;us;1771867930;1777156032
redkitedays.co.uk;33;33;1;104.21.52.53;;1786421105;1790032741
ourrochdale.org.uk;32;32;3;104.26.4.178;;1781549009;1785697592
silk1069.com;32;32;1;52.85.193.10;us;1784297952;1789954681
toddleabout.co.uk;32;32;1;51.140.85.106;gb;1778829012;1788189719
birkenhead.news;31;31;1;35.214.0.78;gb;1788882794;1788882794
eachother.org.uk;31;31;1;138.68.162.240;gb;1789140759;1789140759
escis.org.uk;31;31;2;104.26.10.130;;1788474626;1789921088
leighleopards.co.uk;31;31;1;104.21.4.15;;1771891735;1789967010
dee1063.com;30;30;1;3.167.69.84;us;1784259187;1790062285
lifestyledaily.co.uk;30;30;1;212.95.50.155;de;1780090751;1788883268
notreallyheremedia.com;30;30;2;3.167.56.7;us;1782746421;1789769114
suttoninformationhub.org.uk;30;30;2;18.130.175.48;gb;1783193900;1789019964
a-leads.co;29;29;1;172.67.159.76;;1781530538;1781530538
investinginwomen.co.uk;29;29;11;185.151.30.183;gb;1771930824;1787905909
optimisticmommy.com;29;29;1;172.67.171.205;;1781822878;1788857551
torbayfamilyhub.org.uk;29;29;1;68.183.44.171;gb;1787832604;1789562248
datagardener.com;28;28;2;13.134.68.20;gb;1789806502;1789806502
revenuebase.ai;28;28;1;3.167.112.29;us;1790011427;1790011427
feedingtrends.com;27;27;1;4.213.176.80;in;1781224931;1785053511
futureradio.co.uk;27;27;1;151.101.66.159;us;1771477612;1789640971
wegetyoufound.co.uk;27;27;10;104.21.45.63;;1771448539;1789967126
acvo.org.uk;26;26;1;89.117.229.112;gb;1777503016;1781968553
childrenshealthscotland.org;26;26;1;162.159.135.42;us;1776417945;1788793465
pauselive.com;26;26;1;99.83.169.22;us;1780170162;1789460245
uknewsgroup.co.uk;26;26;1;172.67.140.51;;1770794604;1779626617
businessmanchester.co.uk;25;25;1;172.67.145.179;;1785340909;1788833493
gorodeo.app;25;25;1;54.217.162.92;ie;1780902913;1780902913
loginslink.com;25;25;3;172.67.68.97;;1772263133;1790085151
nfa.co.uk;25;25;351;13.226.238.57;us;1770310387;1790092170
prnewslink.net;25;25;14;104.21.40.99;;1772046223;1789930834
thecinnamonhollow.com;25;25;1;185.151.30.212;gb;1779468029;1785743732
elearncollege.com;24;24;1;104.26.8.100;;1779467367;1789645340
find-open.co.uk;24;24;2;104.18.10.59;;1787301676;1787301676
openobjects.com;24;24;5;104.26.5.178;;1782871242;1783955127
readmedium.com;24;24;1;172.67.74.119;;1781449723;1785151722
staf.scot;24;24;2;104.17.94.94;;1777183623;1789537444
orparc.org;23;23;1;35.71.150.51;us;1782582105;1787864862
weridetogether.today;23;23;1;18.208.88.157;us;1779866592;1787887352
personneltodayawards.com;22;22;1;52.50.20.0;ie;1786316447;1788795861
vaorkney.org.uk;22;22;1;157.96.37.78;gb;1788089902;1789532755
vetrorecruitment.co.uk;22;22;1;3.167.112.49;us;1773966358;1789825620
yably.co.uk;22;22;1;104.18.11.97;;1784551301;1784551301
