domain,organic_traffic
apple.com,37441694
bbc.com,23071440
google.com,110235003
indeed.com,13932274
theguardian.com,32934381
substack.com,1474136
ya.ru,86707
goodhousekeeping.com,1542883
liverpoolecho.co.uk,2469837
walesonline.co.uk,1899461
tweakers.net,3534
internetmatters.org,417397
pitchbook.com,65734
leicestermercury.co.uk,313944
buzzsprout.com,17171
womanandhome.com,331954
dovepress.com,8234
pocketcasts.com,9232
buckinghamshire.gov.uk,406974
humanium.org,2766
leadiq.com,10146
prospeo.io,3610
zeno.fm,7427
fwi.co.uk,88159
lancs.live,109482
inyourarea.co.uk,63753
justanswer.co.uk,271428
myjobscotland.gov.uk,380261
cheshire-live.co.uk,82735
sandwell.gov.uk,259518
ezilon.com,9941
gransnet.com,58995
luton.gov.uk,113179
havering.gov.uk,201673
wolverhampton.gov.uk,142762
lancasterguardian.co.uk,42572
growjo.com,1396
wiza.co,2707
edublogs.org,5027
glarity.app,411
goodpods.com,1405
xtra.com.my,62
cocodoc.com,137
aff.org.uk,10315
ireland-live.ie,2618
manchester.sch.uk,0
mkfm.com,14028
nationalfosteringgroup.co.uk,15906
podcastrepublic.net,438
companiesintheuk.co.uk,19909
dudleyci.co.uk,13709
mettle.co.uk,11483
clubhubuk.co.uk,10690
greatbritishfoodfestival.com,6283
nff.org.uk,4352
podscan.fm,594
corambaaf.org.uk,2391
lookwhatmomfound.com,179
redkitedays.co.uk,12206
ourrochdale.org.uk,2150
silk1069.com,4389
toddleabout.co.uk,4657
birkenhead.news,9747
eachother.org.uk,2417
escis.org.uk,5572
leighleopards.co.uk,10526
dee1063.com,2216
lifestyledaily.co.uk,980
notreallyheremedia.com,2347
suttoninformationhub.org.uk,9660
a-leads.co,976
investinginwomen.co.uk,6160
optimisticmommy.com,1
torbayfamilyhub.org.uk,1798
datagardener.com,2433
revenuebase.ai,3415
feedingtrends.com,1
futureradio.co.uk,1902
wegetyoufound.co.uk,4900
acvo.org.uk,745
childrenshealthscotland.org,472
pauselive.com,1131
uknewsgroup.co.uk,1100
businessmanchester.co.uk,182
gorodeo.app,3
loginslink.com,104
nfa.co.uk,525
prnewslink.net,462
thecinnamonhollow.com,7
elearncollege.com,158
find-open.co.uk,519
openobjects.com,202
readmedium.com,92
staf.scot,1497
orparc.org,0
weridetogether.today,0
personneltodayawards.com,132
vaorkney.org.uk,303
vetrorecruitment.co.uk,1028
yably.co.uk,1420
4recruiting.co.uk,832
bye.fyi,0
drjack.world,0
emmaand3.com,43
shetlandcommunitydirectory.co.uk,174
standupgirl.com,2
door4.com,195
linkschool.org.uk,470
mamathefox.com,3
huntukvisasponsors.com,2443
bizzimummy.com,61
familyfriendlyworking.co.uk,10
sharpscot.co.uk,2
teamtutsham.co.uk,400
cubbi.uk,2205
theworkfromhomehub.co.uk,150382
waveneygymnastics.org,1230
d3tenders.com,176
manati.co.za,0
vanilla-magazine.co.uk,99
wellbeingworld.je,0
metamagic.top,0
mjnotinnocent.net,31
mypodcastdata.com,30
shortenurls.eu,0
skyhighscaffoldingliverpool.co.uk,18
theriversidecentre.org.uk,617
toparticlesdirectory.com,0
brokeandchic.com,0
jobsbasw.co.uk,80
norfolkfamilylife.com,0
papasearch.net,0
themodernmomlounge.com,0
wotawomandiary.co.uk,108
99w.im,0
ejobscircular.com,1
southfwb.com,0
websitescrawl.com,0
