Referring_Domain,Ahrefs_DR,Links_to_Target,Is_Spam,First_Seen
wikipedia.org,97.0,1,False,2026-03-22
berkeley.edu,92.0,1,False,2024-09-05
yell.com,91.0,274,False,2021-05-27
huffingtonpost.co.uk,90.0,2,False,2021-03-13
gitlab.io,89.0,1,False,2026-07-27
flywheelsites.com,86.0,9,False,2022-02-12
dothome.co.kr,86.0,2,False,2026-04-12
yudu.com,82.0,2,False,2026-02-15
uni-lj.si,81.0,3,False,2026-09-13
ufrgs.br,81.0,17,False,2023-07-31
grokipedia.com,78.0,2,False,2026-04-03
childrenscommissioner.gov.uk,78.0,2,False,2023-03-25
ac-versailles.fr,78.0,24,False,2023-09-11
dailywire.com,78.0,1,False,2024-06-25
unbiased.co.uk,77.0,1,False,2025-08-09
bristolpost.co.uk,77.0,1,False,2025-10-02
rocketreach.co,76.0,2,False,2024-10-28
pp.ru,75.0,1,False,2025-10-25
kcn.ne.jp,75.0,13,False,2025-08-06
factmags.com,74.0,3,True,2026-05-13
contactout.com,74.0,2,False,2024-10-15
paperblog.com,74.0,8,False,2018-07-19
rankyour.website,74.0,4,True,2025-12-20
trustburn.com,73.0,3,True,2022-07-26
thomsonlocal.com,73.0,607,False,2025-08-08
inkl.com,73.0,2,False,2024-06-27
owler.com,73.0,2,False,2025-10-07
plymouthherald.co.uk,73.0,2,False,2023-06-15
viesearch.com,72.0,1,False,2025-12-31
prospeo.io,72.0,2,True,2026-03-03
restless.co.uk,72.0,9,False,2022-05-28
wolverhampton.gov.uk,72.0,1,False,2025-12-20
siteprice.org,71.0,24,False,2025-07-18
port.hu,71.0,1,False,2022-10-24
leadiq.com,71.0,7,False,2025-04-10
backlinker.shop,71.0,2,False,2025-09-20
wiza.co,71.0,74,True,2025-04-25
woman.dk,70.0,1,False,2023-05-11
getreading.co.uk,69.0,2,False,2024-02-09
buybacklinks.agency,69.0,4,False,2026-04-07
kinkly.com,69.0,1,False,2024-10-02
fiverr-seo-for-small-businesses.site,68.0,3,True,2026-04-18
fiverr-quality-seo-at-affordable-rates.site,67.0,1,True,2026-05-18
5minutesformom.com,67.0,8,False,2021-07-31
greaterbirminghamchambers.com,67.0,2,False,2025-10-28
companycheck.co.uk,67.0,6,False,2026-08-25
trixonline.co.uk,66.0,1,False,2025-12-27
mumsthenerd.co.uk,65.0,1,False,2022-04-19
99backlinksbuy.com,64.0,2,True,2026-08-15
homeftp.net,64.0,63,False,2021-11-28
sitelike.org,63.0,29,False,2021-05-12
childpsychotherapy.org.uk,62.0,1,False,2026-01-20
first5california.com,62.0,2,False,2026-05-20
apsoz.com,61.0,4,True,2026-09-18
hotfri.com,61.0,4,True,2026-09-14
zlutag.com,61.0,4,True,2026-09-14
yelpad.com,61.0,4,True,2026-09-14
gigbic.com,61.0,4,True,2026-09-14
misterwhat.co.uk,61.0,1,False,2026-05-06
mantaw.com,61.0,4,True,2026-09-14
dotpim.com,60.0,4,True,2026-09-14
factually.co,60.0,1,False,2026-06-22
kingranks.com,60.0,8,True,2025-02-25
somuch.com,60.0,2,False,2025-08-18
articlement.com,59.0,2,False,2025-02-26
ivanhoe.com,59.0,1,False,2024-05-07
bestseobacklinkforsite.com,59.0,1,True,2026-07-11
atozbacklinks.com,59.0,2,True,2026-07-12
friendlybacklinksbuy.com,59.0,3,True,2026-08-24
booastrankingwithbacklinks.com,59.0,2,True,2026-08-16
superbqualitybacklinks.com,59.0,2,True,2026-07-29
toptohigh.com,59.0,3,False,2024-07-25
host.io,59.0,1,False,2026-05-04
increasewebtrafficwithlinks.com,58.0,3,True,2026-07-10
trafficboosterlinkseo.com,58.0,3,True,2026-07-09
