Referring_Domain,Ahrefs_DR,Links_to_Target,Is_Spam,First_Seen
provenexpert.com,91.0,24,False,2024-02-10
yell.com,91.0,467,False,2020-09-20
crunchbase.com,91.0,5,False,2020-11-16
chron.com,89.0,3,False,2022-10-08
awwwards.com,89.0,9,False,2023-12-26
cbinsights.com,86.0,8,False,2024-05-23
moneysavingexpert.com,84.0,1,False,2025-06-29
glassdoor.co.uk,82.0,1,False,2021-10-03
breitbart.com,82.0,2,False,2021-09-10
sheknows.com,82.0,2,False,2024-05-22
glassdoor.co.in,80.0,1,False,2024-11-25
liverpoolecho.co.uk,80.0,1,False,2026-09-05
grokipedia.com,78.0,4,False,2025-12-11
hercampus.com,78.0,2,False,2026-04-16
wanderlog.com,77.0,1,False,2022-08-21
smenews.digital,77.0,3,False,2024-10-16
theorg.com,76.0,1,False,2024-11-05
find-us-here.com,76.0,2,False,2024-05-17
netmums.com,75.0,1,False,2022-05-10
factmags.com,74.0,8,True,2026-05-09
synup.com,74.0,1,False,2025-03-01
leicestermercury.co.uk,74.0,2,False,2023-06-26
contactout.com,74.0,1,False,2025-07-30
paperblog.com,74.0,6,False,2020-09-10
rankyour.website,74.0,2,True,2025-12-23
thomsonlocal.com,73.0,462,False,2025-08-06
inkl.com,73.0,5,False,2026-07-23
prospeo.io,72.0,2,True,2026-07-21
siteprice.org,71.0,5,False,2026-04-24
leadiq.com,71.0,10,False,2025-03-16
backlinker.shop,71.0,2,False,2025-09-24
wiza.co,71.0,28,True,2026-05-08
buybacklinks.agency,69.0,2,False,2026-04-11
scam-detector.com,68.0,2,False,2026-04-17
bebee.com,67.0,2,False,2026-07-02
releasewire.com,67.0,4,False,2024-03-07
rtor.org,67.0,2,False,2026-04-14
schooltv.me,65.0,8,False,2026-04-19
techdirectory.io,65.0,26,False,2025-05-05
plugandplaydesign.co.uk,65.0,1,False,2024-07-27
99backlinksbuy.com,64.0,2,True,2026-07-08
tipped.co.uk,63.0,2,False,2023-06-14
sitelike.org,63.0,9,False,2021-05-26
hotfri.com,61.0,2,True,2026-09-14
zlutag.com,61.0,2,True,2026-09-14
yelpad.com,61.0,2,True,2026-09-14
gigbic.com,61.0,2,True,2026-09-15
misterwhat.co.uk,61.0,16,False,2024-02-14
sabns.com,61.0,2,False,2023-09-25
mantaw.com,61.0,2,True,2026-09-15
dotpim.com,60.0,2,True,2026-09-15
digitalunite.com,60.0,2,False,2025-09-25
yugo.com,60.0,24,False,2024-02-27
agreatertown.com,59.0,8,False,2026-05-23
orpetron.com,59.0,1,False,2024-09-24
bestseobacklinkforsite.com,59.0,1,True,2026-07-29
atozbacklinks.com,59.0,2,True,2026-07-12
friendlybacklinksbuy.com,59.0,2,True,2026-08-25
booastrankingwithbacklinks.com,59.0,2,True,2026-08-15
superbqualitybacklinks.com,59.0,2,True,2026-07-29
mylocalservices.co.uk,59.0,3,False,2022-09-10
increasewebtrafficwithlinks.com,58.0,3,True,2026-07-10
trafficboosterlinkseo.com,58.0,2,True,2026-07-11
worldtopbacklinks.com,58.0,2,True,2026-07-01
allbaclinks.com,58.0,1,True,2026-08-22
buyfairbacklinks.com,58.0,1,True,2026-07-31
moneymagpie.com,58.0,2,False,2024-08-27
buy-backlinks-ranking-power.com,58.0,2,True,2026-08-21
bestrankbacklinks.com,58.0,2,True,2026-07-28
wowqualitybacklinks.com,58.0,2,True,2026-08-17
