Referring_Domain,Ahrefs_DR,Links_to_Target,Is_Spam,First_Seen
squarespace.com,95.0,1,False,2026-06-02
nih.gov,95.0,1,False,2025-09-24
psu.edu,91.0,4,False,2025-01-05
yell.com,91.0,2,False,2022-06-09
speakrj.com,82.0,1,False,2025-12-27
gold.ac.uk,80.0,1,False,2026-09-09
userteamnames.com,80.0,1,False,2026-06-18
coherentmarketinsights.com,78.0,1,False,2025-10-31
grokipedia.com,78.0,3,False,2025-12-11
thepinknews.com,78.0,2,False,2022-12-03
azbigmedia.com,78.0,1,False,2026-08-01
europeanbusinessreview.com,76.0,1,False,2024-11-14
factmags.com,74.0,1,True,2026-07-07
businessnewsthisweek.com,74.0,1,False,2024-12-24
healthcarebusinesstoday.com,74.0,1,False,2022-10-08
traveldailynews.com,74.0,1,False,2026-01-22
paperblog.com,74.0,2,False,2026-05-10
rankyour.website,74.0,2,True,2026-01-02
thomsonlocal.com,73.0,8,False,2025-08-16
psychreg.org,73.0,1,False,2024-10-22
derbytelegraph.co.uk,73.0,1,False,2023-07-16
thebossmagazine.com,73.0,1,False,2026-04-18
tgdaily.com,73.0,1,False,2021-05-11
wordstreetjournal.com,72.0,1,False,2025-04-16
voucherix.co.uk,72.0,1,False,2023-06-22
livepositively.com,72.0,1,False,2026-08-28
theenterpriseworld.com,72.0,1,False,2024-10-07
siteprice.org,71.0,4,False,2026-04-24
metacast.app,71.0,2,False,2026-05-02
curiousmindmagazine.com,71.0,1,False,2025-04-04
backlinker.shop,71.0,3,False,2025-10-08
thesalfordmagazine.com,71.0,1,False,2026-08-25
brightonjournal.co.uk,71.0,1,False,2026-09-17
peterborough.gov.uk,71.0,21,False,2026-04-21
wiza.co,71.0,14,True,2026-05-15
bitrebels.com,71.0,1,False,2026-01-30
insiderpaper.com,70.0,1,False,2024-06-25
thefrisky.com,70.0,1,False,2026-05-01
pawboost.com,70.0,1,False,2022-07-25
buybacklinks.agency,69.0,2,False,2026-04-18
mygreenbucks.net,69.0,1,False,2026-05-22
bebee.com,67.0,2,False,2026-08-13
companycheck.co.uk,67.0,1,False,2026-08-28
mumsthenerd.co.uk,65.0,1,False,2018-08-22
tamaracamerablog.com,64.0,1,False,2022-10-08
techslassh.com,64.0,1,False,2026-04-18
lapzoo.com,64.0,1,False,2026-05-21
sitelike.org,63.0,15,False,2021-05-25
ultraupdates.com,63.0,1,False,2023-01-23
thinkingautismguide.com,62.0,1,False,2025-07-20
magdalenageka.com,62.0,1,False,2026-06-26
talentedladiesclub.com,61.0,1,False,2026-06-28
theexeterdaily.co.uk,61.0,1,False,2024-12-24
baddiehub.news,60.0,1,False,2025-09-24
sapnemein.com,60.0,1,False,2025-12-19
wellbeingmagazine.com,60.0,1,False,2025-02-19
intheplayroom.co.uk,59.0,1,False,2024-04-25
fiverr-cost-effective-seo.site,59.0,2,True,2026-04-18
lovelolablog.com,59.0,1,False,2025-10-25
shopnaclo.com,59.0,1,False,2025-10-24
anationofmoms.com,58.0,1,False,2022-11-23
blessings2you.com,58.0,1,False,2026-02-19
entrepreneursbreak.com,58.0,1,False,2025-10-23
onyamagazine.com,58.0,1,False,2026-08-27
newsanyway.com,58.0,1,False,2023-12-29
thefashionablehousewife.com,57.0,2,False,2020-04-26
scoopupdates.com,57.0,1,False,2025-07-26
birminghamworld.uk,57.0,2,False,2025-10-09
goooogla.com,57.0,2,True,2026-05-14
lifeinabreakdown.com,57.0,2,False,2025-12-06
