Referring_Domain,Ahrefs_DR,Links_to_Target,Is_Spam,First_Seen
indeed.com,92.0,2,False,2026-09-19
yell.com,91.0,113,False,2021-05-16
metro.co.uk,88.0,2,False,2020-09-17
moneysavingexpert.com,84.0,1,False,2023-08-12
research.com,83.0,8,False,2026-02-10
speakrj.com,82.0,1,False,2026-09-14
ceocolumn.com,82.0,1,False,2026-01-20
freeindex.co.uk,81.0,1,False,2022-11-01
userteamnames.com,80.0,1,False,2026-07-09
bitbucket.io,80.0,1,False,2026-02-02
stir.ac.uk,79.0,2,False,2025-08-10
coherentmarketinsights.com,78.0,1,False,2026-04-23
tinybuddha.com,77.0,2,False,2026-02-06
thetyee.ca,77.0,2,False,2022-07-06
mapcarta.com,76.0,1,False,2026-05-24
find-us-here.com,76.0,2,False,2020-10-04
europeanbusinessreview.com,76.0,1,False,2024-11-14
factmags.com,74.0,3,True,2026-05-07
businessnewsthisweek.com,74.0,1,False,2025-03-21
healthcarebusinesstoday.com,74.0,1,False,2022-10-08
traveldailynews.com,74.0,1,False,2026-06-28
timelapsemagazine.com,74.0,1,False,2026-01-07
contactout.com,74.0,2,False,2026-07-10
selfgrowth.com,74.0,2,False,2026-08-31
paperblog.com,74.0,3,False,2024-07-12
rankyour.website,74.0,2,True,2026-01-02
thomsonlocal.com,73.0,374,False,2025-08-10
psychreg.org,73.0,1,False,2024-11-14
derbytelegraph.co.uk,73.0,1,False,2023-12-13
thebossmagazine.com,73.0,1,False,2025-10-11
viesearch.com,72.0,4,False,2025-09-06
europeanbusinessmagazine.com,72.0,1,False,2026-05-09
wordstreetjournal.com,72.0,1,False,2025-03-31
prospeo.io,72.0,4,True,2026-03-25
glasgowlive.co.uk,72.0,1,False,2023-12-17
voucherix.co.uk,72.0,1,False,2022-10-27
livepositively.com,72.0,1,False,2026-08-28
theenterpriseworld.com,72.0,1,False,2025-07-03
siteprice.org,71.0,3,False,2026-06-24
curiousmindmagazine.com,71.0,1,False,2023-12-07
backlinker.shop,71.0,1,False,2025-10-08
brightonjournal.co.uk,71.0,1,False,2026-09-17
valiantceo.com,71.0,1,False,2026-03-31
insiderpaper.com,70.0,1,False,2024-12-15
thefrisky.com,70.0,1,False,2026-05-19
netnewsledger.com,70.0,1,False,2025-06-30
buybacklinks.agency,69.0,2,False,2026-04-18
northamptonchron.co.uk,68.0,1,False,2024-12-23
companycheck.co.uk,67.0,4,False,2026-08-20
iriss.org.uk,66.0,2,False,2018-08-29
southfloridareporter.com,66.0,1,False,2026-02-20
video-bookmark.com,66.0,197,False,2024-07-26
mumsthenerd.co.uk,65.0,1,False,2023-05-07
tamaracamerablog.com,64.0,1,False,2022-10-27
techslassh.com,64.0,1,False,2026-05-20
lapzoo.com,64.0,1,False,2026-08-16
99backlinksbuy.com,64.0,2,True,2026-08-15
tipped.co.uk,63.0,2,False,2022-12-26
doncasterfreepress.co.uk,63.0,2,False,2022-03-05
ultraupdates.com,63.0,1,False,2023-05-11
northantstelegraph.co.uk,62.0,1,False,2025-01-10
magdalenageka.com,62.0,1,False,2026-05-21
kidsinthehouse.com,62.0,1,False,2025-05-16
talentedladiesclub.com,61.0,1,False,2026-08-25
apsoz.com,61.0,2,True,2026-09-18
hotfri.com,61.0,2,True,2026-09-15
zlutag.com,61.0,2,True,2026-09-14
yelpad.com,61.0,2,True,2026-09-15
gigbic.com,61.0,2,True,2026-09-15
blessings123.com,61.0,1,False,2026-05-21
