Referring_Domain,Ahrefs_DR,Links_to_Target,Is_Spam,First_Seen
it.com,92.0,1,False,2026-03-26
yell.com,91.0,127,False,2021-05-16
everydayhealth.com,89.0,1,False,2023-12-19
userteamnames.com,80.0,1,False,2026-08-27
kent.gov.uk,79.0,1,False,2024-11-22
grokipedia.com,78.0,1,False,2026-04-24
bmmagazine.co.uk,77.0,1,False,2023-03-17
mndassociation.org,76.0,1,False,2025-01-18
sussexexpress.co.uk,76.0,4,False,2022-02-23
europeanbusinessreview.com,76.0,1,False,2026-04-16
expressandstar.com,75.0,2,False,2026-03-29
netmums.com,75.0,1,False,2026-07-28
factmags.com,74.0,1,True,2026-05-13
contactout.com,74.0,1,False,2025-09-11
paperblog.com,74.0,1,False,2024-04-26
thomsonlocal.com,73.0,219,False,2025-08-17
psychreg.org,73.0,1,False,2025-03-31
wordstreetjournal.com,72.0,1,False,2025-12-16
voucherix.co.uk,72.0,1,False,2024-10-22
livepositively.com,72.0,1,False,2026-08-28
siteprice.org,71.0,4,False,2026-07-14
thesalfordmagazine.com,71.0,1,False,2026-07-28
brightonjournal.co.uk,71.0,1,False,2026-09-17
xxbrits.uk,71.0,1,False,2025-10-19
ziddu.com,70.0,1,False,2026-06-28
insiderpaper.com,70.0,1,False,2025-08-21
glassdoor.es,68.0,1,False,2025-10-23
northamptonchron.co.uk,68.0,2,False,2023-03-25
companycheck.co.uk,67.0,1,False,2026-08-20
trixonline.co.uk,66.0,1,False,2025-01-20
techdirectory.io,65.0,1,False,2025-10-18
tamaracamerablog.com,64.0,1,False,2023-02-20
fiverr-seo-for-business-growth.site,64.0,1,False,2026-04-18
brightsites.co.uk,64.0,2,False,2026-05-04
techslassh.com,64.0,1,False,2026-03-27
lapzoo.com,64.0,1,False,2026-04-16
99backlinksbuy.com,64.0,1,True,2026-08-03
miltonkeynes.co.uk,63.0,1,False,2026-05-26
hertfordshiremercury.co.uk,63.0,3,False,2023-06-29
soulinner.com,63.0,1,False,2026-09-17
themeadows.com,63.0,1,False,2024-10-10
sitelike.org,63.0,6,False,2021-11-26
ultraupdates.com,63.0,1,False,2024-03-20
northantstelegraph.co.uk,62.0,1,False,2023-03-22
apsoz.com,61.0,1,True,2026-09-18
hotfri.com,61.0,1,True,2026-09-14
zlutag.com,61.0,1,True,2026-09-14
yelpad.com,61.0,1,True,2026-09-14
gigbic.com,61.0,1,True,2026-09-14
misterwhat.co.uk,61.0,4,False,2025-04-16
theexeterdaily.co.uk,61.0,1,False,2026-04-30
glassdoor.ie,61.0,1,False,2025-10-13
mantaw.com,61.0,1,True,2026-09-14
dotpim.com,60.0,1,True,2026-09-14
ventsmagazine.co.uk,60.0,1,False,2023-11-15
kingranks.com,60.0,2,True,2024-07-24
bucksherald.co.uk,60.0,1,False,2026-05-27
datafilehost.com,60.0,1,False,2026-05-26
articlement.com,59.0,1,False,2025-02-26
puremagazine.co.uk,59.0,1,False,2025-03-31
locallife.co.uk,59.0,12,False,2020-08-27
bestseobacklinkforsite.com,59.0,1,True,2026-08-14
atozbacklinks.com,59.0,1,True,2026-07-12
friendlybacklinksbuy.com,59.0,1,True,2026-08-25
superbqualitybacklinks.com,59.0,1,True,2026-07-31
web-ranking-gain-fast.com,59.0,1,True,2026-09-17
increasewebtrafficwithlinks.com,58.0,1,True,2026-07-08
allbaclinks.com,58.0,1,True,2026-08-22
buyfairbacklinks.com,58.0,1,True,2026-07-31
wales247.co.uk,58.0,1,False,2023-05-09
