Referring_Domain,Ahrefs_DR,Links_to_Target,Is_Spam,First_Seen
youtube.com,99.0,1,False,2026-09-16
web.app,91.0,1,False,2026-09-18
yell.com,91.0,14,False,2021-10-08
moneysavingexpert.com,84.0,23,False,2023-08-14
vocal.media,82.0,1,False,2025-08-20
speakrj.com,82.0,1,False,2026-02-19
ceocolumn.com,82.0,1,False,2026-06-15
userteamnames.com,80.0,1,False,2026-07-09
coherentmarketinsights.com,78.0,1,False,2026-01-23
grokipedia.com,78.0,1,False,2026-04-24
sussexexpress.co.uk,76.0,10,False,2021-11-06
europeanbusinessreview.com,76.0,1,False,2025-01-25
factmags.com,74.0,1,True,2026-05-07
businessnewsthisweek.com,74.0,1,False,2025-04-21
yorkshireeveningpost.co.uk,74.0,1,False,2026-03-25
healthcarebusinesstoday.com,74.0,1,False,2025-05-22
traveldailynews.com,74.0,1,False,2026-08-23
leicestermercury.co.uk,74.0,1,False,2023-08-01
contactout.com,74.0,3,False,2025-08-31
paperblog.com,74.0,1,False,2024-01-25
rankyour.website,74.0,2,True,2026-04-26
thomsonlocal.com,73.0,256,False,2025-08-07
brandfetch.com,73.0,2,True,2026-08-02
hulldailymail.co.uk,73.0,1,False,2026-04-19
psychreg.org,73.0,1,False,2024-12-20
thebossmagazine.com,73.0,1,False,2026-03-25
europeanbusinessmagazine.com,72.0,1,False,2026-05-03
wordstreetjournal.com,72.0,1,False,2026-07-12
voucherix.co.uk,72.0,1,False,2023-04-04
livepositively.com,72.0,1,False,2026-09-01
theenterpriseworld.com,72.0,1,False,2024-11-19
siteprice.org,71.0,6,False,2025-09-13
curiousmindmagazine.com,71.0,1,False,2025-02-21
backlinker.shop,71.0,1,False,2025-10-09
thesalfordmagazine.com,71.0,1,False,2026-07-01
ziddu.com,70.0,1,False,2026-07-04
insiderpaper.com,70.0,1,False,2024-12-25
thefrisky.com,70.0,1,False,2026-05-02
netnewsledger.com,70.0,1,False,2024-10-08
buybacklinks.agency,69.0,2,False,2026-05-08
mygreenbucks.net,69.0,2,False,2026-04-16
uploadarticle.net,68.0,1,False,2026-08-07
lookwhatmomfound.com,68.0,1,False,2025-01-30
bebee.com,67.0,2,False,2026-08-29
companycheck.co.uk,67.0,2,False,2026-08-20
southfloridareporter.com,66.0,1,False,2026-04-16
1888pressrelease.com,65.0,2,False,2017-06-28
mumsthenerd.co.uk,65.0,1,False,2024-10-23
tamaracamerablog.com,64.0,1,False,2022-10-08
techslassh.com,64.0,1,False,2025-12-17
lapzoo.com,64.0,1,False,2026-04-01
99backlinksbuy.com,64.0,1,True,2026-08-15
miltonkeynes.co.uk,63.0,5,False,2023-05-19
doncasterfreepress.co.uk,63.0,1,False,2021-06-16
ultraupdates.com,63.0,1,False,2023-08-21
northantstelegraph.co.uk,62.0,1,False,2021-07-02
qureos.com,62.0,2,True,2026-03-22
talentedladiesclub.com,61.0,1,False,2026-04-15
apsoz.com,61.0,2,True,2026-09-18
hotfri.com,61.0,2,True,2026-09-15
zlutag.com,61.0,2,True,2026-09-15
yelpad.com,61.0,2,True,2026-09-14
gigbic.com,61.0,2,True,2026-09-15
yellii.com,61.0,2,True,2026-09-22
blessings123.com,61.0,1,False,2026-06-28
theexeterdaily.co.uk,61.0,1,False,2024-08-24
mantaw.com,61.0,2,True,2026-09-15
dotpim.com,60.0,2,True,2026-09-15
baddiehub.news,60.0,1,False,2025-11-22
sapnemein.com,60.0,1,False,2026-01-20
