Referring_Domain,Ahrefs_DR,Links_to_Target,Is_Spam,First_Seen
goodreads.com,92.0,2,False,2026-07-22
yell.com,91.0,28,False,2022-06-07
crunchbase.com,91.0,2,False,2023-11-02
huffingtonpost.co.uk,90.0,1,False,2021-03-15
acast.com,90.0,1,False,2026-06-23
mt.gov,89.0,1,False,2026-04-06
moneysavingexpert.com,84.0,6,False,2026-05-05
theepochtimes.com,83.0,1,False,2023-08-12
mybrightwheel.com,83.0,1,False,2023-05-10
qub.ac.uk,82.0,1,False,2022-04-04
journoportfolio.com,82.0,1,False,2024-12-09
framer.app,82.0,1,False,2025-09-10
speakrj.com,82.0,1,False,2025-09-16
ceocolumn.com,82.0,1,False,2026-01-05
patient.info,82.0,7,False,2025-10-24
flixpress.com,82.0,1,False,2026-09-15
steemit.com,81.0,1,False,2017-12-02
editorialge.com,80.0,1,False,2025-03-01
intelligenthq.com,80.0,1,False,2026-02-25
liverpoolecho.co.uk,80.0,2,False,2024-08-06
shu.ac.uk,80.0,1,False,2026-04-16
wales.nhs.uk,79.0,6,False,2021-10-14
digitalspy.com,79.0,1,False,2024-09-02
stir.ac.uk,79.0,1,False,2025-08-10
coherentmarketinsights.com,78.0,1,False,2025-10-24
grokipedia.com,78.0,5,False,2026-04-06
ipsnews.net,78.0,1,False,2026-08-03
adobecqms.net,77.0,1,False,2025-10-02
fullfact.org,77.0,2,False,2024-09-03
bmmagazine.co.uk,77.0,1,False,2023-03-08
worktribe.com,77.0,2,False,2026-07-27
rocketreach.co,76.0,2,False,2025-10-03
theorg.com,76.0,1,False,2024-11-09
find-us-here.com,76.0,4,False,2020-06-12
europeanbusinessreview.com,76.0,1,False,2024-10-07
tributemosthaunted.co.uk,75.0,1,False,2026-04-15
legit.ng,75.0,1,False,2026-02-21
netmums.com,75.0,2,False,2022-01-13
factmags.com,74.0,4,True,2026-05-07
hrnews.co.uk,74.0,1,False,2025-10-16
businessnewsthisweek.com,74.0,1,False,2025-05-14
yorkshireeveningpost.co.uk,74.0,1,False,2025-09-23
healthcarebusinesstoday.com,74.0,1,False,2024-07-26
shropshirestar.com,74.0,2,False,2026-04-01
timelapsemagazine.com,74.0,1,False,2026-01-09
contactout.com,74.0,2,False,2024-08-27
thesiliconreview.com,74.0,1,False,2026-09-17
fingerlakes1.com,74.0,1,False,2024-12-20
paperblog.com,74.0,3,False,2023-05-23
rankyour.website,74.0,2,True,2026-05-08
trustburn.com,73.0,1,True,2026-09-11
thomsonlocal.com,73.0,480,False,2024-02-21
inkl.com,73.0,5,False,2026-06-06
ntd.com,73.0,1,False,2025-05-28
londondaily.news,73.0,1,False,2026-06-26
psychreg.org,73.0,1,False,2026-09-01
businesscloud.co.uk,73.0,1,False,2025-03-14
gazettelive.co.uk,73.0,1,False,2025-05-15
thebossmagazine.com,73.0,1,False,2025-10-09
tgdaily.com,73.0,3,False,2021-05-09
viesearch.com,72.0,4,False,2025-12-30
communitycare.co.uk,72.0,2,False,2025-12-21
europeanbusinessmagazine.com,72.0,1,False,2026-05-05
wordstreetjournal.com,72.0,1,False,2025-02-25
prospeo.io,72.0,4,True,2026-02-22
crossrivertherapy.com,72.0,6,False,2025-09-05
voucherix.co.uk,72.0,1,False,2022-06-03
livepositively.com,72.0,1,False,2026-08-08
moneyinc.com,72.0,1,False,2024-12-21
theenterpriseworld.com,72.0,1,False,2024-11-15
londonlovesbusiness.com,72.0,1,False,2024-04-08
siteprice.org,71.0,12,False,2026-04-19
bbntimes.com,71.0,1,False,2025-02-06
homebusinessmag.com,71.0,1,False,2026-01-31
curiousmindmagazine.com,71.0,1,False,2025-03-14
