Referring_Domain,Ahrefs_DR,Links_to_Target,Is_Spam,First_Seen
wikipedia.org,97.0,6,False,2021-10-08
squarespace.com,95.0,5,False,2026-05-24
gov.uk,94.0,24,False,2021-12-30
website-files.com,93.0,2,False,2026-09-13
netlify.app,93.0,3,False,2026-08-31
mdpi.com,92.0,2,False,2022-12-02
frontiersin.org,92.0,1,False,2024-02-14
nhs.uk,92.0,3,False,2025-04-23
plos.org,92.0,1,False,2026-03-25
telegraph.co.uk,91.0,8,False,2024-03-24
justgiving.com,91.0,107,False,2024-04-18
ox.ac.uk,91.0,3,False,2026-04-11
buzzsprout.com,91.0,8,False,2024-11-25
wpenginepowered.com,91.0,6,False,2021-09-18
unicef.org,91.0,6,False,2026-09-12
vice.com,91.0,5,False,2024-09-20
aol.com,91.0,1,False,2026-09-04
newsweek.com,91.0,2,False,2018-08-26
cam.ac.uk,91.0,1,False,2025-05-09
iheart.com,91.0,3,False,2026-07-23
yell.com,91.0,4,False,2024-10-29
thetimes.com,91.0,8,False,2025-03-16
huffingtonpost.co.uk,90.0,55,False,2021-03-03
ucl.ac.uk,90.0,1,False,2026-02-14
b2clogin.com,90.0,39,False,2025-10-30
nice.org.uk,90.0,5,False,2021-10-20
padlet.com,90.0,7,False,2025-08-01
govdelivery.com,90.0,26,False,2025-03-15
acast.com,90.0,3,False,2024-09-14
gov.scot,90.0,39,False,2018-11-10
yellowpages.com,89.0,3,False,2022-04-01
lse.ac.uk,89.0,3,False,2021-04-15
phys.org,89.0,2,False,2019-10-20
gov.wales,89.0,110,False,2024-07-29
mynewsdesk.com,88.0,7,False,2024-03-20
itv.com,88.0,11,False,2020-08-06
metro.co.uk,88.0,5,False,2022-07-14
blog.gov.uk,88.0,20,False,2018-06-10
nominet.uk,88.0,2,False,2025-03-27
gla.ac.uk,86.0,4,False,2023-09-13
bristol.ac.uk,85.0,2,False,2024-01-01
unibo.it,85.0,1,False,2025-11-28
ghost.io,85.0,2,False,2026-03-27
macmillan.org.uk,84.0,4,False,2023-08-16
scotsman.com,84.0,9,False,2024-05-24
nihr.ac.uk,84.0,6,False,2026-09-07
fundraisingregulator.org.uk,84.0,3,False,2025-03-14
moneysavingexpert.com,84.0,2,False,2020-06-22
cardiff.ac.uk,83.0,13,False,2019-10-01
ovid.com,83.0,2,False,2026-09-09
christianitytoday.com,83.0,2,False,2024-09-24
anglican.org,83.0,1,False,2026-07-25
mygov.scot,83.0,1,False,2026-04-16
ucas.com,83.0,2,False,2022-05-25
sussex.ac.uk,82.0,3,False,2025-01-19
liverpool.ac.uk,82.0,3,False,2022-05-12
manchestereveningnews.co.uk,82.0,5,False,2024-02-25
qub.ac.uk,82.0,7,False,2025-12-03
strath.ac.uk,82.0,3,False,2026-09-10
reference-global.com,82.0,1,False,2026-04-12
yudu.com,82.0,4,False,2026-06-15
walesonline.co.uk,82.0,2,False,2025-02-17
local.gov.uk,82.0,61,False,2021-10-06
lancaster.ac.uk,82.0,4,False,2022-09-16
shorthand.com,81.0,2,False,2025-08-07
goodpods.com,81.0,3,False,2026-05-28
giveasyoulive.com,81.0,8,False,2025-07-21
nesta.org.uk,80.0,2,False,2022-07-08
scope.org.uk,80.0,2,False,2022-04-15
barnardos.org.uk,80.0,32,False,2022-12-21
prnewswire.co.uk,80.0,2,False,2026-07-17
hscni.net,80.0,29,False,2020-04-09
turn2us.org.uk,80.0,5,False,2025-01-18
shorthandstories.com,80.0,2,False,2026-07-23
radiotimes.com,80.0,3,False,2024-03-16
