Referring_Domain,Semrush_AS,nationalfosteringgroup.co.uk,thefca.co.uk,thefosteringnetwork.org.uk,capstonefostercare.co.uk,ispfostering.org.uk,fosterplus.co.uk,fosteringpeople.co.uk,swiisfostercare.com,compassfostering.com,orangegrovefostercare.co.uk
amazon.in,100,0,0,2,0,0,0,0,0,0,0
apple.com,100,1,0,1,0,0,0,0,0,0,0
bbc.co.uk,100,0,2,22,2,1,0,0,0,4,0
bbc.com,100,1,0,15,0,0,1,0,0,3,0
cambridge.org,100,0,0,1,0,0,0,0,0,0,0
google.com,100,1,0,0,0,0,0,0,0,0,0
indeed.com,100,1,1,2,2,0,0,1,0,4,1
nih.gov,100,0,0,3,0,0,0,0,0,0,0
nytimes.com,100,0,1,0,0,0,0,0,0,0,0
theguardian.com,100,1,0,49,1,0,0,0,0,2,1
wikipedia.org,100,0,0,1,1,1,0,0,0,0,0
gov.uk,100,0,0,9,0,0,0,0,0,0,0
yahoo.com,100,0,3,11,2,2,0,2,0,3,0
nhs.uk,99,0,0,1,0,0,0,0,0,0,0
medium.com,98,0,0,1,0,1,0,0,0,0,0
dailymail.co.uk,95,0,0,1,0,0,0,0,0,0,0
bing.com,91,0,0,0,0,0,1,2,2,1,0
linktr.ee,89,0,0,9,0,0,0,0,0,0,0
dailymail.com,87,0,0,1,0,0,0,0,0,0,0
substack.com,86,1,4,13,0,1,0,0,0,1,0
independent.co.uk,85,0,1,5,0,0,0,0,0,0,0
thesun.co.uk,85,0,2,5,0,0,0,0,0,0,0
ya.ru,85,1,0,0,0,0,0,0,0,0,0
goodhousekeeping.com,82,1,0,0,0,0,0,0,0,0,0
telegraph.co.uk,82,0,0,1,0,0,0,0,0,0,0
mirror.co.uk,81,0,1,0,0,1,0,0,0,1,0
springer.com,81,0,0,11,0,0,0,0,0,0,0
berkeley.edu,80,0,0,0,1,0,0,0,0,0,0
express.co.uk,79,0,0,2,0,0,0,1,0,0,0
bit.ly,78,0,2,3,2,0,0,0,0,0,0
moneysavingexpert.com,78,0,1,0,0,0,0,0,0,1,10
radiotimes.com,78,0,0,1,0,0,0,0,0,0,0
manchestereveningnews.co.uk,77,0,0,3,0,0,0,0,0,0,0
ox.ac.uk,77,0,0,2,0,0,0,0,0,0,0
theconversation.com,77,0,0,1,0,0,0,0,0,0,0
pearson.com,77,0,0,0,0,0,0,0,0,1,0
nice.org.uk,76,0,0,3,0,0,0,0,0,0,0
nzherald.co.nz,75,0,1,0,0,0,0,0,0,0,0
usp.br,75,0,0,0,28,0,0,0,0,0,0
cam.ac.uk,74,0,0,2,0,0,0,0,0,0,0
channel4.com,74,0,0,1,0,0,0,0,0,0,0
nv.ua,74,0,0,2,0,0,0,0,0,0,0
nyu.edu,74,0,0,12,0,0,0,0,0,0,0
metro.co.uk,74,0,1,6,0,1,1,0,0,1,0
