Referring_Domain,Semrush_AS,Backlinks,First_Seen,Last_Seen,Country
apple.com,100,1,2026-05-11,2026-08-23,us
bbc.com,100,1,2026-05-29,2026-08-19,us
google.com,100,1,2026-09-14,2026-09-14,us
indeed.com,100,1,2026-08-26,2026-09-15,us
theguardian.com,100,1,2026-06-01,2026-08-14,us
substack.com,86,1,2026-03-13,2026-09-08,
ya.ru,85,1,2026-09-14,2026-09-14,ru
goodhousekeeping.com,82,1,2026-03-27,2026-09-13,us
liverpoolecho.co.uk,73,4,2026-05-08,2026-09-18,us
walesonline.co.uk,72,1,2026-06-08,2026-06-08,us
tweakers.net,70,1,2026-07-16,2026-09-06,tr
internetmatters.org,69,11,2026-04-03,2026-09-12,
pitchbook.com,64,1,2026-03-22,2026-07-26,us
leicestermercury.co.uk,61,2,2026-05-14,2026-09-10,us
buzzsprout.com,57,193,2026-03-11,2026-09-21,
womanandhome.com,57,1,2026-07-21,2026-09-20,us
dovepress.com,53,1,2026-05-23,2026-09-06,
pocketcasts.com,51,1,2026-04-03,2026-06-03,us
buckinghamshire.gov.uk,50,1,2026-03-29,2026-09-08,
humanium.org,50,4,2026-07-25,2026-09-19,ch
leadiq.com,50,2,2026-08-16,2026-08-16,us
prospeo.io,49,1,2026-03-09,2026-08-23,us
zeno.fm,49,1,2026-08-25,2026-08-25,ca
fwi.co.uk,48,1,2026-04-11,2026-08-31,ie
lancs.live,48,1,2026-07-25,2026-09-22,us
inyourarea.co.uk,47,1,2026-03-16,2026-09-13,us
justanswer.co.uk,47,2,2026-07-17,2026-07-24,
myjobscotland.gov.uk,47,5,2026-06-04,2026-09-11,gb
cheshire-live.co.uk,46,1,2026-08-02,2026-08-02,us
sandwell.gov.uk,46,54,2026-07-07,2026-08-28,
ezilon.com,45,1,2026-02-26,2026-09-16,
gransnet.com,45,1,2026-05-07,2026-07-28,
luton.gov.uk,45,3,2026-06-30,2026-07-29,
havering.gov.uk,44,1,2026-07-05,2026-07-14,
wolverhampton.gov.uk,44,77,2026-06-30,2026-08-18,
lancasterguardian.co.uk,42,2,2026-07-11,2026-09-09,
growjo.com,41,3,2026-02-13,2026-08-23,
wiza.co,41,2,2026-04-03,2026-08-24,
edublogs.org,40,6,2026-05-11,2026-08-26,
glarity.app,40,1,2026-08-18,2026-08-18,
goodpods.com,40,1,2026-03-29,2026-03-29,
xtra.com.my,39,2,2026-07-29,2026-09-08,
cocodoc.com,38,1,2026-05-22,2026-07-10,
aff.org.uk,37,1,2026-03-29,2026-09-16,gb
ireland-live.ie,36,2,2026-03-05,2026-08-24,
manchester.sch.uk,36,1,2026-05-05,2026-08-16,gb
mkfm.com,36,1,2026-03-05,2026-09-13,
podcastrepublic.net,36,1,2026-04-02,2026-07-21,us
companiesintheuk.co.uk,35,2,2026-02-24,2026-08-18,
dudleyci.co.uk,35,3,2026-06-30,2026-09-06,gb
mettle.co.uk,35,1,2026-03-16,2026-09-21,gb
clubhubuk.co.uk,34,1,2026-08-23,2026-09-12,
greatbritishfoodfestival.com,34,4,2026-06-26,2026-09-18,gb
nff.org.uk,34,1,2026-04-16,2026-09-12,us
podscan.fm,34,2,2026-04-07,2026-04-07,
corambaaf.org.uk,33,4,2026-04-27,2026-09-21,gb
lookwhatmomfound.com,33,1,2026-02-23,2026-04-25,us
redkitedays.co.uk,33,1,2026-08-11,2026-09-21,
ourrochdale.org.uk,32,3,2026-06-15,2026-08-02,
silk1069.com,32,1,2026-07-17,2026-09-21,us
toddleabout.co.uk,32,1,2026-05-15,2026-08-31,gb
birkenhead.news,31,1,2026-09-08,2026-09-08,gb
eachother.org.uk,31,1,2026-09-11,2026-09-11,gb
escis.org.uk,31,2,2026-09-03,2026-09-20,
leighleopards.co.uk,31,1,2026-02-24,2026-09-21,
dee1063.com,30,1,2026-07-17,2026-09-22,us
lifestyledaily.co.uk,30,1,2026-05-29,2026-09-08,de
