Referring_Domain,Semrush_AS,Backlinks,First_Seen,Last_Seen,Country
indeed.com,100,1,2026-02-17,2026-08-16,us
yahoo.com,100,2,2025-11-03,2026-09-15,us
bing.com,91,2,2025-06-30,2026-03-01,tr
express.co.uk,79,1,2026-03-23,2026-09-14,us
grokipedia.com,63,1,2026-07-04,2026-07-04,
thelancet.com,60,2,2025-09-13,2026-07-16,us
thepinknews.com,57,1,2024-12-19,2026-09-10,
dailykos.com,56,1,2026-03-08,2026-03-08,us
patsnap.com,52,1,2026-03-27,2026-08-31,us
derbytelegraph.co.uk,49,1,2024-12-22,2026-09-13,us
pawboost.com,49,1,2024-06-12,2026-09-08,
endole.co.uk,48,1,2025-11-24,2026-05-12,
justanswer.co.uk,48,1,2025-12-22,2026-06-16,
inyourarea.co.uk,47,4,2024-07-14,2026-09-16,us
neverbounce.com,45,1,2026-07-22,2026-07-22,
sitelike.org,45,7,2024-12-08,2026-09-09,
coherentmarketinsights.com,43,1,2025-11-01,2026-09-04,
iharare.com,43,1,2025-09-03,2026-09-05,
businessnewsthisweek.com,42,1,2024-12-24,2026-05-04,in
chad.co.uk,41,1,2024-05-30,2026-09-14,
falkirkherald.co.uk,41,1,2026-02-27,2026-09-19,
wiza.co,41,2,2026-04-10,2026-09-03,
glarity.app,40,4,2024-07-17,2026-09-01,
himalayas.app,40,2,2026-04-05,2026-06-17,
intheplayroom.co.uk,40,1,2025-10-27,2026-09-20,us
theenterpriseworld.com,40,1,2024-10-07,2026-06-03,us
thelondoneconomic.com,40,2,2024-07-31,2026-06-11,
baddiehub.org.uk,39,1,2025-08-10,2026-06-03,us
birminghamworld.uk,39,2,2025-10-12,2026-09-10,
decoratoradvice.com,37,1,2024-08-05,2026-09-16,
liverpoolworld.uk,37,1,2025-10-14,2026-09-05,
speakrj.com,37,2,2025-12-17,2026-08-03,
eyeonannapolis.net,36,1,2026-05-04,2026-08-02,
kidsworldfun.com,36,1,2025-10-04,2026-09-21,
livepositively.com,36,1,2026-09-07,2026-09-07,
otsnews.co.uk,36,1,2026-02-24,2026-09-07,gb
talentedladiesclub.com,36,1,2026-06-30,2026-09-06,gb
advancedautism.com,35,1,2025-04-06,2026-09-13,us
culturaldaily.com,35,1,2026-03-17,2026-08-21,
deeside.com,35,1,2025-08-24,2026-09-22,
dolphinholidays.co.uk,35,1,2024-12-03,2026-09-19,gb
ourkidthings.com,35,1,2025-12-14,2026-09-12,us
shoutoutuk.org,35,1,2026-04-01,2026-08-15,
techslassh.com,35,1,2026-04-19,2026-09-19,
the-gingerbread-house.co.uk,35,1,2024-12-19,2026-09-22,de
theinspirationedit.com,35,1,2026-04-15,2026-08-15,
totalguidetobath.com,35,1,2026-03-03,2026-09-22,
cbseguess.com,34,1,2025-09-20,2026-06-08,
elmens.com,34,1,2024-05-31,2026-09-08,
europeanbusinessreview.com,34,1,2026-02-14,2026-09-16,
londonmumsmagazine.com,34,1,2025-08-05,2026-08-28,gb
multischolar.com,34,1,2026-03-08,2026-09-06,
psychreg.org,34,1,2024-12-03,2026-08-24,gb
sensoryedge.com,34,1,2026-02-20,2026-09-11,gb
sparklesandstretchmarks.com,34,1,2024-08-30,2026-06-06,gb
warrington-worldwide.co.uk,34,1,2026-02-03,2026-05-19,us
entrepreneursbreak.com,33,1,2025-10-26,2026-09-18,
feedbuzzard.com,33,2,2026-03-03,2026-08-30,
freekidsbooks.org,33,1,2024-06-11,2026-07-03,us
fustany.com,33,1,2024-12-10,2026-06-26,gb
loyalshayar.com,33,1,2026-03-11,2026-09-21,
sweetsofties.com,33,2,2026-04-18,2026-09-20,us
traveldailynews.com,33,1,2026-01-24,2026-08-28,
emmareed.net,32,1,2026-03-19,2026-09-19,gb
jupiterhadley.com,32,1,2026-03-12,2026-09-10,gb
kidsinthehouse.com,32,1,2025-08-16,2026-09-18,us
meriweb.net,32,1,2026-06-28,2026-08-22,
metapress.com,32,1,2026-02-16,2026-07-08,us
mygreenbucks.net,32,11,2026-05-22,2026-09-09,
salonprivemag.com,32,1,2024-11-30,2026-09-16,gb
seftondirectory.com,32,2590,2026-04-13,2026-08-28,
sunnysweetdays.com,32,1,2024-10-08,2026-08-17,gb
techmediatoday.com,32,1,2026-04-15,2026-09-09,us
thinkingautismguide.com,32,3,2025-07-20,2026-09-18,
toddleabout.co.uk,32,2,2024-12-19,2026-09-06,gb
zhihuiya.com,32,1,2024-12-20,2026-09-16,cn
amumreviews.co.uk,31,1,2026-03-06,2026-09-18,dk
anationofmoms.com,31,1,2026-03-02,2026-08-02,us
baddiehub.news,31,1,2025-10-28,2026-09-14,fi
birkenhead.news,31,2,2025-10-13,2026-07-15,gb
gluesticksgumdrops.com,31,1,2025-09-18,2026-09-08,
hiddengemsaba.com,31,2,2024-12-08,2026-08-04,us
onyamagazine.com,31,1,2026-07-02,2026-09-18,
outragemag.com,31,1,2024-08-17,2026-09-15,us
sitashri.com,31,1,2026-05-23,2026-07-31,
swindon24.co.uk,31,1,2026-05-04,2026-09-09,
tamaracamerablog.com,31,1,2024-05-30,2026-09-19,us
theexeterdaily.co.uk,31,1,2025-08-21,2026-09-16,de
thefoxmagazine.com,31,1,2025-02-08,2026-07-03,us
totalguidetowiltshire.com,31,1,2025-05-24,2026-09-15,
womansera.com,31,2,2025-02-15,2026-09-14,in
woombie.com,31,1,2026-03-11,2026-03-11,us
bigeasymagazine.com,30,1,2024-10-05,2026-07-28,us
citygirlnetwork.com,30,1,2025-11-29,2026-09-16,us
