Referring_Domain,Semrush_AS,Backlinks,First_Seen,Last_Seen,Country
bing.com,94,2,2025-10-02,2026-03-10,us
yell.com,68,54,2025-11-26,2026-09-02,
thepinknews.com,59,3,2025-12-02,2026-09-13,
inews.co.uk,58,1,2026-02-11,2026-09-10,us
bristolpost.co.uk,57,2,2026-01-02,2026-09-17,us
thestar.co.uk,55,1,2026-03-16,2026-09-17,
theorg.com,51,1,2026-05-14,2026-08-20,us
lgbtqnation.com,47,1,2026-01-30,2026-09-21,
sitelike.org,45,1,2026-08-22,2026-08-22,
intheplayroom.co.uk,40,2,2025-12-04,2026-09-21,us
wiza.co,40,2,2025-07-25,2026-04-13,
curlie.org,37,5,2026-01-07,2026-08-15,us
germanshepherdrescue.co.uk,37,1,2026-02-06,2026-09-17,gb
themetrocentre.co.uk,37,1,2026-05-28,2026-05-28,gb
manchesterworld.uk,36,2,2025-11-25,2026-09-13,
talentedladiesclub.com,36,1,2025-01-02,2026-09-05,gb
bristolpride.co.uk,35,2,2025-08-03,2026-08-22,us
aquaidwatercoolers.co.uk,34,12,2025-12-10,2026-09-10,fr
outfrontmagazine.com,34,1,2026-06-24,2026-08-17,us
bristolcreativeindustries.com,33,1,2026-02-07,2026-09-18,
scenemag.co.uk,33,2,2026-01-30,2026-09-13,
mycovenant.org.uk,32,1,2026-01-22,2026-09-12,us
theexeterdaily.co.uk,31,3,2026-03-17,2026-09-21,de
bloomberry.com,30,3,2026-03-12,2026-06-03,us
eas.pt,30,1,2026-02-03,2026-04-19,pt
fivelittledoves.com,30,1,2025-02-04,2026-06-01,gb
healthtrusteurope.com,28,1,2026-04-18,2026-08-02,us
odp.org,28,2,2025-12-28,2026-06-28,us
embedtree.com,27,1,2025-11-28,2026-09-08,
loomdigital.co.uk,27,1,2026-02-15,2026-09-04,
wegetyoufound.co.uk,27,2,2026-04-18,2026-08-02,
dentons.net,26,4,2026-01-31,2026-05-18,gb
trustfeed.com,26,3,2026-05-13,2026-08-29,
urlm.co.uk,25,2,2025-12-11,2026-06-11,ie
bye.fyi,24,1,2026-05-12,2026-08-19,md
loginslink.com,24,2,2026-01-21,2026-09-03,
caretalk.co.uk,23,5,2025-12-03,2026-09-19,gb
durhammagazine.co.uk,23,1,2025-12-11,2026-09-13,
thesportshouse.net,22,1,2025-11-25,2026-09-06,
diydaddyblog.com,21,2,2024-12-28,2026-06-23,gb
socialcarenetwork.com,19,4,2026-01-29,2026-09-12,gb
b99.co.uk,18,2,2026-01-07,2026-09-05,fi
bristol.co.uk,18,1,2025-02-21,2026-09-13,gb
londinium.com,18,2,2026-01-31,2026-08-08,gb
beboys.co.uk,17,1,2025-04-29,2026-09-12,gb
bizmidlands.co.uk,17,11,2025-09-04,2026-09-01,gb
neconnected.co.uk,16,1,2026-02-06,2026-06-17,gb
swiis.com,14,5,2024-11-23,2026-09-16,gb
swiishealthcare.com,9,3,2024-11-04,2026-09-21,gb
blackburn.co.uk,9,1,2025-06-10,2026-09-17,gb
leeds.org.uk,8,1,2025-06-13,2026-08-18,gb
leedsmagazine.com,8,2,2026-02-13,2026-09-21,
safefostering.co.uk,8,4,2026-02-18,2026-09-12,gb
swiisfostercarescotland.com,8,219,2024-08-31,2026-09-21,gb
gaysonoma.com,6,56,2025-01-05,2026-09-21,us
govspendbase.uk,11,128,2025-11-25,2026-09-22,de
