Referring_Domain,Semrush_AS,Backlinks,First_Seen,Last_Seen,Country
bbc.co.uk,100,2,2025-12-21,2026-09-08,gb
indeed.com,100,1,2025-12-01,2026-09-06,us
nytimes.com,100,1,2026-01-26,2026-07-11,us
yahoo.com,100,3,2026-01-31,2026-08-16,us
substack.com,87,4,2026-01-29,2026-09-19,
thesun.co.uk,85,2,2026-01-18,2026-09-09,us
independent.co.uk,84,1,2025-12-22,2026-09-09,us
mirror.co.uk,80,1,2026-04-01,2026-08-03,us
bit.ly,78,2,2026-09-09,2026-09-13,us
moneysavingexpert.com,78,1,2026-01-02,2026-09-04,us
nzherald.co.nz,75,1,2026-03-12,2026-07-29,tr
liverpoolecho.co.uk,74,1,2026-03-28,2026-07-11,us
crunchbase.com,73,1,2026-01-03,2026-09-01,
metro.co.uk,73,1,2026-03-31,2026-09-18,us
thetimes.com,73,1,2025-12-21,2026-09-21,us
uhc.com,73,1,2026-02-16,2026-07-31,us
digitalspy.com,72,1,2026-02-15,2026-09-09,us
walesonline.co.uk,72,5,2025-12-25,2026-07-24,us
legit.ng,71,1,2026-02-23,2026-08-23,us
rocketreach.co,70,1,2026-02-13,2026-09-09,
grokipedia.com,69,2,2026-03-01,2026-07-29,
thesun.ie,69,1,2026-01-09,2026-06-04,us
mt.gov,66,2,2025-09-11,2026-08-22,us
patient.info,66,13,2025-10-23,2026-09-09,
belfasttelegraph.co.uk,65,1,2026-03-07,2026-04-29,
overclockers.co.uk,60,2,2025-11-18,2026-07-07,
nottinghampost.com,59,2,2026-09-04,2026-09-04,fr
huffingtonpost.co.uk,58,1,2026-01-29,2026-08-16,us
inews.co.uk,57,4,2025-11-15,2026-09-14,us
yorkshireeveningpost.co.uk,57,2,2025-11-30,2026-09-02,
birminghammail.co.uk,56,2,2026-01-07,2026-08-29,us
gazettelive.co.uk,56,1,2025-11-28,2026-09-05,us
belfastlive.co.uk,54,3,2026-02-02,2026-09-09,us
prospeo.io,53,1,2026-02-18,2026-07-05,us
mybrightwheel.com,52,1,2025-12-21,2026-09-11,us
qub.ac.uk,52,4,2024-12-24,2026-08-22,us
shu.ac.uk,52,1,2025-12-20,2026-09-21,us
universite-paris-saclay.fr,52,1,2025-08-07,2026-04-23,fr
mostlyblogging.com,51,1,2026-02-09,2026-08-28,us
patsnap.com,51,2,2025-08-03,2026-07-27,us
derbytelegraph.co.uk,50,3,2026-05-15,2026-08-13,fr
sunderlandecho.com,50,5,2025-11-17,2026-09-19,
bbcchildreninneed.co.uk,49,1,2026-02-06,2026-09-18,us
theepochtimes.com,49,2,2026-07-21,2026-08-30,
constantcontact.com,48,5,2026-03-18,2026-08-06,
leadiq.com,48,8,2026-06-19,2026-06-23,us
blackhistorymonth.org.uk,47,1,2026-05-18,2026-08-30,gb
inyourarea.co.uk,47,5,2024-12-15,2026-09-16,us
miltonkeynes.co.uk,47,1,2025-12-01,2026-09-21,
myjobscotland.gov.uk,47,2,2025-12-25,2026-09-15,gb
stir.ac.uk,47,1,2025-11-12,2026-09-20,gb
theodysseyonline.com,47,1,2025-12-14,2026-09-09,us
thepfa.com,47,1,2025-12-04,2026-09-14,
derryjournal.com,46,2,2026-02-08,2026-09-21,
doncasterfreepress.co.uk,46,1,2025-11-20,2026-09-13,
fullfact.org,46,1,2025-11-13,2026-09-15,gb
waggel.co.uk,46,1,2025-11-27,2026-09-07,
derbyshiretimes.co.uk,45,2,2026-02-14,2026-09-20,
gransnet.com,45,1,2025-12-14,2026-09-16,
sitelike.org,45,4,2026-08-13,2026-09-09,
webwire.com,45,20,2025-11-13,2026-09-18,us
24hrcares.com,44,1,2026-07-03,2026-09-09,us
easyshiksha.com,44,1,2026-03-20,2026-09-20,
nation.cymru,44,1,2025-12-19,2026-09-16,
neverbounce.com,44,1,2025-12-24,2026-06-15,
ntd.com,44,1,2026-02-08,2026-09-03,
coherentmarketinsights.com,43,1,2025-11-26,2026-09-04,
crossrivertherapy.com,43,12,2025-01-25,2026-09-18,us
fingerlakes1.com,43,1,2025-11-27,2026-09-10,
iharare.com,43,1,2025-12-24,2026-09-04,
londonlovesbusiness.com,43,1,2026-04-20,2026-09-06,
lutontoday.co.uk,43,1,2026-02-08,2026-09-03,
newcastleworld.com,43,3,2025-11-26,2026-09-15,
prnewswire.co.uk,43,2,2026-03-20,2026-08-24,
businessnewsthisweek.com,42,1,2026-03-15,2026-05-06,in
diva-magazine.com,42,1,2025-11-18,2026-09-19,us
first5california.com,42,2,2025-12-24,2026-09-20,de
homebusinessmag.com,42,1,2026-03-03,2026-09-19,
newsatrack.co.uk,42,1,2026-04-30,2026-06-16,gb
arabtherapy.com,41,1,2025-12-20,2026-07-31,
b.co.uk,41,1,2025-12-10,2026-06-19,us
chad.co.uk,41,1,2026-02-17,2026-09-14,
communitycare.co.uk,41,2,2025-12-18,2026-09-17,ie
discoveryaba.com,41,5,2025-03-12,2026-04-04,us
growjo.com,41,6,2025-11-17,2026-07-18,
lighthousepoole.co.uk,41,1,2026-03-07,2026-09-07,gb
mastermindbehavior.com,41,3,2025-06-20,2026-06-02,us
northumberlandgazette.co.uk,41,3,2025-11-16,2026-09-22,
paisefilhos.com.br,41,1,2025-11-24,2026-07-21,
paperblog.com,41,2,2025-11-21,2026-09-06,
quasa.io,41,1,2025-05-30,2026-07-05,
thetreetop.com,41,4,2026-03-12,2026-06-24,
bmmagazine.co.uk,40,1,2026-03-06,2026-09-17,gb
businesscloud.co.uk,40,1,2025-12-01,2026-09-12,us
criticalhit.net,40,1,2026-03-07,2026-09-21,
derrynow.com,40,1,2026-01-18,2026-05-12,us
giftya.com,40,1,2026-05-26,2026-09-16,us
intheplayroom.co.uk,40,1,2024-10-14,2026-08-13,us
theenterpriseworld.com,40,1,2025-06-01,2026-06-06,gb
thelondoneconomic.com,40,2,2026-01-25,2026-06-15,
voozon.com,40,1,2026-03-30,2026-09-08,
wales247.co.uk,40,1,2025-12-06,2026-09-03,
wiza.co,40,2,2026-06-08,2026-06-08,
worktribe.com,40,1,2025-12-31,2026-09-19,
abtaba.com,39,4,2025-12-26,2026-09-22,us
baddiehub.org.uk,39,1,2025-08-10,2026-06-03,us
birminghamworld.uk,39,2,2025-12-28,2026-09-10,
bucksherald.co.uk,39,1,2025-12-02,2026-09-08,
canarianweekly.com,39,2,2026-07-08,2026-09-19,es
eyeonannapolis.net,39,1,2026-06-05,2026-06-05,
familysupportni.gov.uk,39,2,2025-11-29,2026-09-19,gb
freekidsbooks.org,39,1,2025-07-25,2026-09-15,us
newlifecharity.co.uk,39,1,2026-01-06,2026-07-15,
northernirelandworld.com,39,1,2026-01-30,2026-09-20,
on-magazine.co.uk,39,1,2026-03-12,2026-09-19,gb
sifted.eu,39,1,2026-03-03,2026-08-29,
valiantceo.com,39,1,2025-08-02,2026-09-03,us
abilities.com,38,1,2025-11-19,2026-09-11,
bedfordtoday.co.uk,38,2,2025-11-18,2026-09-05,
clay.earth,38,1,2025-11-13,2026-05-09,
easthants.gov.uk,38,1,2026-05-05,2026-09-08,gb
fawanews.org.uk,38,1,2026-07-06,2026-09-10,us
london-post.co.uk,38,1,2026-02-06,2026-09-05,de
notgoingtouni.co.uk,38,2,2026-04-06,2026-09-06,us
tamaracamerablog.com,38,1,2026-02-28,2026-09-07,us
aff.org.uk,37,1,2026-03-29,2026-09-16,gb
bristolworld.com,37,2,2025-11-25,2026-09-21,
bullz-eye.com,37,1,2026-03-27,2026-09-15,gb
decoratoradvice.com,37,1,2026-01-11,2026-09-16,
electricscotland.com,37,4,2025-11-14,2026-09-17,ca
hellooha.com,37,1,2025-12-30,2026-09-20,
indiastudychannel.com,37,1,2026-09-09,2026-09-13,us
ipsnews.net,37,2,2026-05-11,2026-08-24,us
mayfair-london.co.uk,37,1,2026-01-26,2026-09-17,gb
netnewsledger.com,37,1,2026-03-10,2026-07-09,ca
speakrj.com,37,2,2026-02-26,2026-08-04,
swanseabaynews.com,37,2,2025-11-26,2026-09-22,us
trualta.com,37,1,2026-04-09,2026-09-12,
centralindex.com,36,1,2026-08-07,2026-08-07,fr
frugalfamily.co.uk,36,1,2026-02-27,2026-06-08,
growingfamily.co.uk,36,1,2026-01-27,2026-08-18,gb
learningmole.com,36,1,2026-03-05,2026-05-09,us
otsnews.co.uk,36,1,2025-11-24,2026-09-07,gb
ourkidthings.com,36,1,2025-11-20,2026-09-22,us
softcircles.com,36,1,2026-02-27,2026-09-18,
thesiliconreview.com,36,1,2026-09-18,2026-09-18,us
yudu.com,36,1,2026-04-14,2026-08-05,us
advancedautism.com,35,4,2025-12-25,2026-09-22,us
anglicaresq.org.au,35,2,2025-12-22,2026-09-04,us
brighterstridesaba.com,35,1,2025-08-08,2026-06-07,
