UK_Region,nationalfosteringgroup.co.uk,thefca.co.uk,thefosteringnetwork.org.uk,capstonefostercare.co.uk,ispfostering.org.uk,fosterplus.co.uk,fosteringpeople.co.uk,swiisfostercare.com,compassfostering.com,orangegrovefostercare.co.uk,_pct_of_top100_note
North West,10,1,3,0,1,1,4,2,2,2,
North East,0,4,1,0,1,0,0,3,0,0,
Yorkshire & Humber,1,3,5,5,1,1,0,3,0,3,
East Midlands,1,4,0,1,3,3,2,0,1,2,
West Midlands,2,1,1,1,3,0,1,0,3,0,
East of England,2,1,2,0,4,1,0,0,0,0,
London,0,2,3,0,1,1,2,1,0,1,
South East,2,1,2,1,8,2,1,0,2,3,
South West,1,0,2,6,2,2,3,5,1,3,
Scotland,5,2,5,0,0,4,1,1,0,0,
Wales,1,2,3,0,1,0,0,0,0,0,
Northern Ireland,0,5,2,1,0,0,0,0,0,0,
UK-National,31,30,39,23,30,16,17,19,31,16,
Non-UK/Unknown,41,43,31,60,44,68,67,20,59,69,
TOTAL_classified,97,99,99,98,99,99,98,54,99,99,
