Keyword;NFG;capstone;isp;fosterplus;fosteringpeople;Volume;KD;CPC;Competition
autism;54;0;0;0;0;74000;97.00;1.05;0.10
what is autism;69;0;0;0;0;22200;65.00;1.16;0.08
autistic;71;0;0;0;0;18100;84.00;1.05;0.10
fetal alcohol syndrome;0;0;0;37;0;18100;72.00;0.00;0.01
ehcp meaning;0;0;39;0;0;12100;21.00;0.53;0.04
ehcp plan;0;0;14;0;0;8100;36.00;0.66;0.11
foetal alcohol syndrome;0;0;0;71;0;8100;44.00;1.82;0.01
foster;4;0;0;0;0;8100;59.00;6.09;0.44
county lines;86;0;0;0;0;6600;38.00;5.60;0.05
fostering;9;50;0;0;15;6600;34.00;6.09;0.44
capstone capstone;0;13;0;0;0;5400;47.00;2.40;0.08
fasd alcohol;0;0;0;44;0;5400;74.00;2.06;0.02
foster care;6;0;0;0;44;5400;33.00;5.67;0.61
care foster;9;0;0;25;0;4400;34.00;5.67;0.61
careers in prison;0;0;0;18;0;4400;42.00;0.38;0.13
foster to foster;5;41;0;0;0;4400;34.00;5.67;0.61
apple jacks adventure farm;0;11;0;0;0;3600;34.00;0.00;0.01
jobs inside a prison;0;0;0;27;0;3600;33.00;0.38;0.13
fasd symptoms;0;0;0;90;0;2900;50.00;1.69;0.02
kinship care;0;33;0;0;0;2900;36.00;0.00;0.33
what is an ehcp;0;0;63;0;0;2900;29.00;4.17;0.06
what is ehcp;0;0;69;0;0;2900;19.00;0.60;0.06
ehc;0;0;5;0;0;2400;39.00;13.67;0.10
ehc plan;0;0;10;0;0;2400;33.00;0.71;0.07
ehcp application;0;0;71;0;0;2400;21.00;0.00;0.03
ehcps;0;0;8;0;0;2400;23.00;0.69;0.04
empty nest syndrome;0;34;0;0;0;2400;43.00;0.20;0.01
fostering meaning;6;0;0;0;0;2400;36.00;1.77;0.02
prison officer positions;0;0;0;12;0;2400;37.00;0.33;0.12
reward chart;8;0;0;0;0;2400;28.00;0.25;1.00
sp ed;0;0;24;0;0;2400;63.00;1.07;0.06
foster carer;6;44;57;0;0;1900;24.00;5.91;0.61
national fostering agency;1;0;0;0;0;1900;34.00;3.18;0.03
what is a care leaver;0;17;0;0;0;1900;34.00;5.60;0.33
benefits for child with ehcp uk;0;0;5;0;0;1600;13.00;0.00;0.00
capstone definition;0;19;0;0;0;1600;43.00;0.00;0.33
care leaver;0;21;0;0;0;1600;37.00;2.00;0.01
care leaver meaning;0;13;0;0;0;1600;17.00;2.00;0.33
fostering allowance;11;22;12;36;6;1600;23.00;2.01;0.57
fostering the;3;36;0;0;28;1600;24.00;2.57;0.33
fostering uk;5;0;29;44;14;1600;49.00;5.18;0.64
how much do foster parents get paid;1;9;0;39;17;1600;20.00;1.31;0.56
adoption process in england;0;55;0;0;0;1300;28.00;0.61;0.58
care leavers;0;42;0;0;0;1300;37.00;2.00;0.01
county lines meaning;96;0;0;0;0;1300;22.00;6.61;0.03
do foster carers pay council tax;6;0;68;49;0;1300;11.00;1.81;0.20
education health and care plan;0;0;60;0;0;1300;24.00;1.22;0.06
find foster;5;0;39;0;83;1300;37.00;0.00;0.33
foster care allowance;10;12;5;29;17;1300;28.00;2.10;0.63
foster care uk;3;30;46;39;0;1300;41.00;5.18;0.64
foster england;10;35;0;8;0;1300;57.00;5.10;0.60
fostering agency;6;16;1;44;32;1300;61.00;7.89;0.48
fostering children;9;34;0;0;26;1300;32.00;4.74;0.62
fostering pay;6;11;17;41;18;1300;18.00;1.83;0.57
how much do foster carers get paid;5;10;30;46;15;1300;18.00;1.31;0.56
kinship carer;0;27;0;0;0;1300;22.00;0.00;0.33
what is trauma bonding;15;0;0;0;0;1300;39.00;0.44;0.01
becoming a foster;12;48;3;0;32;1000;31.00;8.75;0.65
