Keyword;NFG;swiis;compass;orangegrove;capstone;Volume;KD;CPC
fostering;9;20;0;44;50;6600;34.00;6.09
foster care;6;37;0;21;0;5400;33.00;5.67
kinship;0;0;39;0;0;5400;54.00;3.33
foster to foster;5;0;19;0;41;4400;34.00;5.67
kinship care;0;0;38;0;33;2900;36.00;0.00
disorganised attachment style;0;0;4;0;0;2400;41.00;0.00
kin caring;0;0;52;0;14;2400;25.00;0.00
foster carer;6;0;0;25;44;1900;24.00;5.91
what is a care leaver;0;0;31;0;17;1900;34.00;5.60
disorganised attachment;0;0;5;0;0;1900;39.00;0.82
care leaver;0;0;47;0;21;1600;37.00;2.00
care leaver meaning;0;0;21;0;13;1600;17.00;2.00
fostering allowance;11;14;48;15;22;1600;23.00;2.01
foster care allowance;10;20;0;15;12;1300;28.00;2.10
foster care uk;3;0;0;14;30;1300;41.00;5.18
fostering agency;6;0;23;59;16;1300;61.00;7.89
fostering children;9;0;0;11;34;1300;32.00;4.74
fostering pay;6;14;71;24;11;1300;18.00;1.83
kinship carer;0;0;50;0;27;1300;22.00;0.00
attachment types;0;0;6;0;0;1000;61.00;0.52
becoming a foster parent;36;0;9;11;23;1000;20.00;8.63
foster carer pay;11;19;53;24;13;1000;15.00;1.88
foster parent pay;2;0;45;13;10;1000;25.00;1.83
respite foster care;2;11;17;35;37;1000;12.00;4.45
what is kinship care;0;0;51;0;10;1000;28.00;6.01
become a foster carer;9;15;49;0;27;880;17.00;8.63
foster care payments;10;23;52;17;14;880;21.00;1.83
kinship carers;0;0;48;0;0;880;37.00;5.55
pace training;0;0;31;0;0;1000;28.00;2.30
online grooming;0;0;55;0;0;1000;33.00;2.65
