Keyword;NFG;thefca;thefosteringnetwork;capstone;isp;Volume;KD;CPC
fetal alcohol syndrome;0;13;0;0;0;18100;72.00;0.00
foetal alcohol syndrome;0;15;0;0;0;8100;44.00;1.82
autism in girls;0;8;0;0;0;5400;27.00;0.00
ehcp meaning;0;0;0;0;39;12100;21.00;0.53
ehcp plan;0;0;0;0;14;8100;36.00;0.66
fostering;9;38;2;50;0;6600;34.00;6.09
foster care;6;47;4;0;0;5400;33.00;5.67
fasd alcohol;0;20;0;0;0;5400;74.00;2.06
care foster;9;0;2;0;0;4400;34.00;5.67
fca jobs;0;3;0;0;0;4400;23.00;0.60
foster to foster;5;0;86;41;0;4400;34.00;5.67
alcohol fetal syndrome;0;11;0;0;0;3600;66.00;1.54
fasd symptoms;0;17;0;0;0;2900;50.00;1.69
kinship care;0;0;8;33;0;2900;36.00;0.00
what is an ehcp;0;0;0;0;63;2900;29.00;4.17
what is ehcp;0;0;0;0;69;2900;19.00;0.60
ehc;0;0;0;0;5;2400;39.00;13.67
ehc plan;0;0;0;0;10;2400;33.00;0.71
ehcps;0;0;0;0;8;2400;23.00;0.69
fostering meaning;6;0;4;0;0;2400;36.00;1.77
national fostering agency;1;0;5;0;0;1900;34.00;3.18
foster carer;6;16;2;44;57;1900;24.00;5.91
playtime therapy;0;28;0;0;0;2900;11.00;0.90
cafcass jobs;0;50;0;0;0;1900;25.00;0.70
