Domain;Url;Keywords;Traffic;TrafficPct
capstone;/;65;792;19.41
capstone;/about-fostering/how-much-do-foster-parents-get-paid;256;623;15.26
capstone;greater-manchester-office(gmb);5;770;18.87
capstone;/knowledge-centre/fostering-vs-adoption;77;259;6.34
isp;/;62;574;16.94
isp;/allowances/;283;482;14.22
isp;/respite-foster-care/;64;400;11.80
isp;/becoming-a-foster-parent/;124;273;8.05
isp;/help-your-foster-child-at-school/ehcp/;140;192;5.66
isp;/therapeutic-fostering/;28;177;5.22
fosterplus;/becoming-foster-parent/;128;104;13.59
fosterplus;/;54;97;12.67
fosterplus;/locations/cannock/;3;57;7.45
fosterplus;/blogs/fetal-alcohol-spectrum-disorder/;45;44;5.75
fosterplus;/jobs-for-ex-prison-officers/;21;32;4.18
fosteringpeople;/;88;404;26.31
fosteringpeople;/allowances/fostering-and-working/;40;240;15.63
fosteringpeople;/regions/west-midlands/;39;146;9.51
fosteringpeople;/allowances/financial-calculator/;180;126;8.20
fosteringpeople;/allowances/;287;123;8.01
swiis;/;15;463;24.91
swiis;/fostering-allowance-pay/;232;292;15.71
swiis;/locations/fostering-in-birmingham/;54;143;7.69
swiis;/respite-and-short-break-fostering/;66;139;7.48
compass;/;28;1099;37.72
compass;/careers/;40;285;9.78
compass;/advice/childhood-trauma-quiz/;4;135;4.63
compass;/advice/disorganised-attachment-style-healing/;7;118;4.05
compass;/resource/fostertrack/;12;112;3.84
compass;/faq/fostering-babies/;27;110;3.77
compass;/advice/pace-parenting/;24;66;2.26
orangegrove;/offices/stoke-on-trent/;6;542;47.50
orangegrove;/;21;215;18.84
orangegrove;/about-fostering/who-can-foster/;158;71;6.22
orangegrove;/fostering-allowances/;230;69;6.04
orangegrove;/regions/leeds/;42;16;1.40
orangegrove;/regions/doncaster/;7;12;1.05
