Keyword;Position;Previous Position;Search Volume;CPC;Url;Traffic;Traffic (%);Competition;Keyword Difficulty;Intents;Trends
national fostering agency;1;1;1900;3.18;https://www.nationalfosteringgroup.co.uk/;1520;9.55;0.03;34.00;2;0.44,0.52,0.36,0.66,0.66,0.44,0.52,0.66,0.36,0.80,0.36,0.27
national fostering group;1;1;880;3.04;https://www.nationalfosteringgroup.co.uk/;704;4.42;0.44;42.00;2;0.55,0.76,0.55,0.55,0.76,0.76,0.45,1.00,0.76,0.76,0.55,0.55
foster;4;4;8100;6.09;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;243;1.52;0.44;59.00;1;0.29,0.44,0.66,0.66,0.66,0.44,1.00,0.36,0.36,0.44,0.44,0.36
how much do foster parents get paid;1;1;1600;1.31;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;211;1.32;0.56;20.00;1;0.41,0.54,0.66,0.54,0.79,0.79,0.66,0.66,0.79,0.66,0.66,0.66
national fostering group jobs;1;1;170;1.64;https://www.nationalfosteringgroup.co.uk/careers/job-vacancies/;136;0.85;0.12;18.00;0;0.42,0.65,0.65,0.65,0.65,0.65,0.34,0.80,0.53,1.00,0.53,0.53
nfa fostering;1;1;170;3.53;https://www.nationalfosteringgroup.co.uk/national-fostering-agency/;136;0.85;0.53;38.00;2;0.65,0.80,1.00,0.80,0.65,0.53,0.42,0.65,0.53,0.53,0.42,0.42
fostering;9;9;6600;6.09;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;125;0.78;0.44;34.00;1;0.44,0.44,0.66,0.81,0.66,0.44,1.00,0.54,0.66,0.36,0.81,0.36
national fostering;1;1;140;3.64;https://www.nationalfosteringgroup.co.uk/;112;0.70;0.57;46.00;2;0.53,0.53,0.53,0.42,0.53,0.34,0.53,0.53,0.53,0.42,0.42,0.42
emergency foster care;1;1;720;4.53;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/emergency-foster-care/;95;0.59;0.63;11.00;1;1.00,1.00,1.00,1.00,0.88,0.72,0.72,0.59,0.48,0.59,0.59,0.59
national fostering agency uk;1;1;110;0.00;https://www.nationalfosteringgroup.co.uk/;88;0.55;0.33;35.00;1;0.66,0.66,0.66,0.66,0.52,0.33,0.33,0.42,0.42,0.80,0.52,0.66
how much do foster parents get paid uk;1;1;1000;1.52;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;82;0.51;0.56;17.00;1;0.62,1.00,1.00,0.81,0.62,0.62,0.55,0.62,0.55,0.45,0.36,0.36
respite fostering;1;1;590;4.35;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;77;0.48;0.68;9.00;1;0.26,0.88,1.00,0.88,0.88,0.72,0.59,0.59,0.39,0.39,0.48,0.48
