Keyword;Position;Volume;KD;CPC;Intent;Cluster;RankingURL
fostering allowance;11;1600;23;2.01;info;allowance;/support-and-benefits/financial-support/tax-and-foster-care/ (cannibal vs /fostering-allowance/)
foster carer pay;11;1000;15;1.88;comm;allowance/pay;/support-and-benefits/financial-support/fostering-allowance/
fostering allowance per week;11;390;18;1.41;info;allowance;/support-and-benefits/financial-support/fostering-allowance/
how much is fostering allowance;11;320;17;1.46;info;allowance;/support-and-benefits/financial-support/fostering-allowance/
foster allowance;12;390;18;2.01;info;allowance;/support-and-benefits/financial-support/fostering-allowance/
becoming a foster;12;1000;31;8.75;comm;eligibility;/becoming-a-foster-carer/
fostering agencies;13;590;57;8.39;comm;money;/
foster parents;13;1000;40;4.72;info;informational;/types-of-foster-care/long-term-fostering/
foster parent uk;13;590;20;5.19;info;informational;/what-is-fostering/
fostering near me;14;590;12;14.08;trans;regional/money;/find-our-agencies/fostering-in-york/
foster carers allowance;14;720;24;2.01;info;allowance;/financial-support/fostering-allowance/
foster payments;14;880;21;1.83;comm;allowance/pay;/financial-support/fostering-allowance/
private fostering agencies;14;390;46;6.32;comm;money;/
what is trauma bonding;15;1300;39;0.44;info;informational;/news-and-blog/what-is-a-trauma-bond.../
how to foster a child;16;720;23;7.17;info;eligibility;/who-can-foster/
uk fostering;16;390;45;5.24;nav;informational;/
foster carer;18;1900;24;5.91;info;money;/financial-support/fostering-allowance/
fostering agency;30;1300;61;7.89;comm;money;/find-our-agencies/fostering-in-bolton/
foster care;19;5400;33;5.67;info;informational;/types-of-foster-care/long-term-fostering/
fostering;23;6600;34;6.09;info;informational;/types-of-foster-care/short-term-fostering/
become a foster carer;21;880;17;8.63;info;money;/who-can-foster/
foster care agencies;21;720;24;8.39;comm;money;/
