Domain;CompetitorRelevance;CommonKeywords;OrganicKeywords;OrganicTraffic;OrganicCost_USD;Classification
thefca.co.uk;0.75;812;2805;7573;280.80;Confirmed-SectorBody
thefosteringnetwork.org.uk;0.56;634;4766;17114;489.33;Confirmed-SectorBody
capstonefostercare.co.uk;0.59;610;2239;4080;118.42;Confirmed-IFA
ispfostering.org.uk;0.55;547;1806;3388;138.00;Confirmed-IFA
orangegrovefostercare.co.uk;0.46;480;1409;1141;59.99;Confirmed-IFA
fosteringpeople.co.uk;0.39;412;1990;1535;51.67;Confirmed-IFA
swiisfostercare.com;0.36;376;1095;1858;65.37;Confirmed-IFA
compassfostering.com;0.34;373;2125;2913;104.39;Confirmed-IFA
fosterplus.co.uk;0.14;193;1352;765;31.53;Weak-IFA
kentfostering.co.uk;0.26;298;611;2749;97.55;New-LA/regional
tactfostering.org.uk;0.20;253;1447;2673;166.43;New-charityIFA
bradfordcft.org.uk;0.32;250;1394;4891;92.30;New-LA/regional
kinship.org.uk;0.18;245;3089;15735;325.05;New-charity(kinship)
readingfostering.co.uk;0.24;234;347;1589;30.19;New-regional
mosaicfostercare.com;0.12;230;1316;347;8.97;New-IFA
sunbeamfostering.com;0.15;213;1313;1928;74.83;New-IFA
changingfuturesfostering.co.uk;0.21;213;764;246;8.64;New-IFA
bythebridge.co.uk;0.18;211;862;805;26.41;New-IFA
fosterline.info;0.19;174;1474;5676;95.46;New-advisory
ukfostering.org.uk;0.14;164;1739;1096;52.54;New-IFA
fosterwithnortheast.org.uk;0.13;127;532;1601;44.14;New-LA(NorthEast)
gov.uk;0.00;672;4649135;72817369;NA;Not-a-competitor(generic)
facebook.com;0.00;555;NA;NA;NA;Not-a-competitor(generic)
barnardos.org.uk;0.12;425;30423;123262;1314.66;Not-a-competitor(charity-scale)
