Built domain,Month built,Found in Ahrefs,Found in Semrush,Status
klamm.de,Aug 2026,Yes,Yes,Live
tuttotek.it,Jul 2026,Yes,Yes,Live
brzn.de,Jun 2026,Yes,Yes,Live
scoopempire.com,Jun 2026,Yes,Yes,Live
lust-auf-dresden.com,Undated,Yes,Yes,Live
pravda-tv.com,Undated,Yes (Sep 14),No,Live (recent - Semrush not updated yet)
bildungsdoc.de,Aug 2026,Yes (Aug 31),No,Live (recent)
krosno112.pl,Jul 2026,Yes (Sep 21),No,Live (recent)
frankfurt-live.com,Undated,No,Yes,Probably live - check the link attribute
auswandern-info.com,Undated,No,No,Check manually
7dni.com.pl,Undated,No,No,Check manually
literaturwelt.com,Undated,No,No,Check manually
hamburg040.com,Aug 2026,No,No,Maybe not indexed yet - recheck
staedte-info.net,Aug 2026,No,No,Maybe not indexed yet - recheck
raidrush.net,Aug 2026,No,No,Maybe not indexed yet - recheck
wochenblitz.com,Aug 2026,No,No,Maybe not indexed yet - recheck
schwerin-lokal.de,Aug 2026,No,No,Maybe not indexed yet - recheck
lite-magazin.de,Aug 2026,No,No,Maybe not indexed yet - recheck
bochumer-zeitung.com,Jul 2026,No,No,MISSING - check manually
oswiecimonline.pl,Jul 2026,No,No,MISSING - check manually
pilkarskiswiat.com,Jul 2026,No,No,MISSING - check manually
comparic.pl,Jul 2026,No,No,MISSING - check manually
faktypilskie.pl,Jul 2026,No,No,MISSING - check manually
nadwisla24.pl,Jun 2026,No,No,MISSING - check manually
bstok.pl,Jun 2026,No,No,MISSING - check manually
pi-news.net,Jun 2026,No,No,MISSING - check manually
familie.pl,Jun 2026,No,No,MISSING - check manually
ostseemagazin.net,Not on sheet,Yes (Aug 2025),Yes,Built earlier - add to sheet
rhein-wied-news.com,Not on sheet,Yes (Dec 2025),Yes,Built earlier - add to sheet
oberberg-aktuell.de,Not on sheet,No,Yes,Built earlier - add to sheet
breakingac.com,Not on sheet,Yes (Mar 2026),Yes,Existing link (not on sheet)
