domain,ascore,backlinks,ip,country,first_seen,last_seen,current_verdict,tox_score,reasons
olivebranchmagazine.com,6,1,209.213.221.213,us,2026-05-13,2026-05-13,KEEP,0,recognized legitimate platform (relevant)
contractorsup.com,15,23,191.101.14.187,us,2025-06-15,2026-04-29,KEEP,0,on-topic/local + real authority; no strong spam signal
excellentcontractor.com,15,3,145.223.126.72,us,2026-04-27,2026-04-27,KEEP,0,on-topic/local + real authority; no strong spam signal
yplocal.us,15,1,142.93.75.207,us,2026-02-12,2026-08-28,KEEP,0,recognized legitimate platform (neutral-authority)
plantisima.com,16,6,172.67.184.90,,2026-02-23,2026-08-27,KEEP,0,on-topic/local + real authority; no strong spam signal
freeplants.com,19,1,165.227.90.144,us,2026-03-14,2026-08-24,KEEP,0,on-topic/local + real authority; no strong spam signal
aesbid.com,21,3,52.85.193.94,us,2025-08-12,2026-05-05,KEEP,0,AS>=20 with no spam signal
alcturf.com.au,21,2,198.185.159.144,us,2026-02-28,2026-08-29,KEEP,0,on-topic/local + real authority; no strong spam signal
jepturf.net,21,1,104.21.26.120,,2026-03-11,2026-08-20,KEEP,0,on-topic/local + real authority; no strong spam signal
positivebloom.com,21,3,104.26.10.88,,2026-03-05,2026-09-04,KEEP,0,on-topic/local + real authority; no strong spam signal
regionaldirectory.us,21,1,34.24.45.149,us,2025-10-05,2026-06-05,KEEP,0,recognized legitimate platform (neutral-authority)
springtouchlawn.com,21,2,34.149.87.45,us,2026-03-28,2026-05-26,KEEP,0,on-topic/local + real authority; no strong spam signal
americanaccent.com,22,4,205.178.146.236,us,2025-09-23,2026-04-04,KEEP,0,AS>=20 with no spam signal
athomepros.com,22,1,104.26.1.9,,2026-03-23,2026-09-03,KEEP,0,AS>=20 with no spam signal
meritan.org,22,2,198.185.159.136,us,2026-03-19,2026-09-04,KEEP,0,AS>=20 with no spam signal
thebuildermarket.com,22,5,104.26.5.168,,2025-08-30,2026-09-01,KEEP,0,AS>=20 with no spam signal
vestigeview.com,22,1,104.21.84.56,,2026-02-26,2026-08-28,KEEP,0,AS>=20 with no spam signal
deliciouslysavvy.com,23,1,192.124.249.134,us,2026-02-27,2026-09-03,KEEP,0,AS>=20 with no spam signal
reasonstoskipthehousework.com,23,1,104.21.3.47,,2026-03-14,2026-07-27,KEEP,0,AS>=20 with no spam signal
thinkdear.com,23,2,104.21.21.63,,2026-03-18,2026-08-15,KEEP,0,AS>=20 with no spam signal
harbingermarketing.com,24,1,67.225.152.101,us,2026-04-05,2026-04-29,KEEP,0,AS>=20 with no spam signal
loginslink.com,24,4,104.26.12.144,,2025-08-20,2026-09-03,KEEP,0,recognized legitimate platform (neutral-authority)
find-us-here.com,25,1,104.21.48.122,,2026-03-31,2026-08-24,KEEP,0,recognized legitimate platform (neutral-authority)
agreatertown.com,26,1,172.66.41.31,,2026-04-04,2026-08-17,KEEP,0,recognized legitimate platform (neutral-authority)
southavenchamber.com,26,6,172.170.249.2,us,2026-02-12,2026-09-04,KEEP,0,recognized legitimate platform (relevant)
tntcode.com,26,4,104.26.1.125,,2025-11-03,2026-08-25,KEEP,0,AS>=20 with no spam signal
coldlytics.com,27,1,99.83.220.108,us,2026-03-03,2026-06-14,KEEP,0,AS>=20 with no spam signal
grasspros.com,27,1,141.193.213.11,us,2026-02-27,2026-06-01,KEEP,0,on-topic/local + real authority; no strong spam signal
mikolmarmi.com,27,1,23.227.38.74,ca,2026-08-13,2026-08-13,KEEP,0,AS>=20 with no spam signal
taradel.com,27,1,209.213.221.24,us,2026-03-06,2026-08-16,KEEP,0,AS>=20 with no spam signal
hatcherlandscape.com,28,32,199.60.103.227,us,2023-03-10,2026-09-03,KEEP,0,on-topic/local + real authority; no strong spam signal
linkcentre.com,28,2,104.26.4.110,,2026-03-11,2026-07-02,KEEP,0,AS>=20 with no spam signal
mymilitarybenefits.com,28,1,141.193.213.10,us,2026-04-27,2026-09-04,KEEP,0,recognized legitimate platform (neutral-authority)
landscapeleadership.com,29,4,199.60.103.226,us,2026-02-15,2026-08-29,KEEP,0,recognized legitimate platform (relevant)
olivebranchms.com,29,3,20.33.3.52,us,2026-02-26,2026-08-17,KEEP,0,recognized legitimate platform (relevant)
anationofmoms.com,30,1,173.236.227.8,us,2025-05-13,2026-07-07,KEEP,0,AS>=20 with no spam signal
desotocountynews.com,30,2,54.165.172.168,us,2024-12-31,2026-09-01,KEEP,0,recognized legitimate platform (relevant)
bestprosintown.com,31,1,104.26.4.129,,2026-05-08,2026-05-08,KEEP,0,recognized legitimate platform (neutral-authority)
gluesticksgumdrops.com,31,1,104.21.70.214,,2026-03-04,2026-08-13,KEEP,0,AS>=20 with no spam signal
parse.gl,31,2,172.67.69.103,,2026-08-08,2026-08-16,KEEP,0,AS>=20 with no spam signal
warelandscaping.com,31,1,141.193.213.11,us,2026-02-25,2026-08-26,KEEP,0,on-topic/local + real authority; no strong spam signal
mygreenbucks.net,32,15,104.21.39.229,,2026-01-31,2026-08-20,KEEP,0,AS>=20 with no spam signal
natureworldnews.com,32,2,172.67.193.157,,2026-02-26,2026-08-28,KEEP,0,recognized legitimate platform (neutral-authority)
propartsdirect.net,32,16,104.18.19.27,,2025-01-22,2026-08-31,KEEP,0,recognized legitimate platform (neutral-authority)
totallandscapecare.com,32,6,104.20.28.253,,2026-03-15,2026-09-03,KEEP,0,recognized legitimate platform (relevant)
neustarlocaleze.biz,33,61,172.64.144.239,,2025-05-24,2026-03-24,KEEP,0,recognized legitimate platform (neutral-authority)
servicio-online.net,33,1,82.194.68.65,es,2025-06-26,2026-06-03,KEEP,0,AS>=20 with no spam signal
citysquares.com,34,4,104.26.3.223,,2025-03-31,2026-07-12,KEEP,0,recognized legitimate platform (neutral-authority)
dexknows.com,35,62,104.18.41.181,,2025-04-10,2026-08-22,KEEP,0,recognized legitimate platform (neutral-authority)
enigma.com,35,4,18.67.76.48,us,2025-11-22,2026-09-03,KEEP,0,recognized legitimate platform (neutral-authority)
strollmag.com,35,4,75.2.60.5,us,2026-03-15,2026-09-03,KEEP,0,recognized legitimate platform (neutral-authority)
landscapeprofessionals.org,37,2,104.21.73.159,,2026-03-07,2026-08-26,KEEP,0,recognized legitimate platform (relevant)
hsvchamber.org,38,3,20.33.3.52,us,2026-02-20,2026-09-04,KEEP,0,recognized legitimate platform (relevant)
growthzoneapp.com,41,6,172.170.249.2,us,2026-02-14,2026-09-02,KEEP,0,recognized legitimate platform (neutral-authority)
owler.com,42,1,23.212.249.199,us,2026-05-01,2026-08-31,KEEP,0,recognized legitimate platform (neutral-authority)
sitelike.org,42,1,172.67.69.134,,2025-12-11,2026-06-24,KEEP,0,recognized legitimate platform (neutral-authority)
ireceptar.cz,44,1,104.26.13.168,,2026-03-02,2026-08-31,KEEP,0,AS>=20 with no spam signal
housedigest.com,45,1,3.171.61.29,us,2026-03-05,2026-08-18,KEEP,0,recognized legitimate platform (neutral-authority)
hub.biz,45,1,96.234.110.96,us,2026-05-20,2026-07-03,KEEP,0,recognized legitimate platform (neutral-authority)
yourgreenpal.com,46,1,104.18.37.238,,2025-09-02,2026-09-04,KEEP,0,recognized legitimate platform (neutral-authority)
superpages.com,47,28,172.64.154.144,,2025-10-23,2026-08-29,KEEP,0,recognized legitimate platform (neutral-authority)
devpost.com,49,1,44.205.201.244,us,2026-06-22,2026-06-22,KEEP,0,recognized legitimate platform (neutral-authority)
theorg.com,51,1,15.197.167.90,us,2026-06-20,2026-06-20,KEEP,0,recognized legitimate platform (neutral-authority)
extension.org,52,1,157.230.67.214,us,2026-03-03,2026-09-01,KEEP,0,recognized legitimate platform (neutral-authority)
birdeye.com,59,2,54.183.121.116,us,2026-05-14,2026-05-19,KEEP,0,recognized legitimate platform (neutral-authority)
pitchbook.com,63,4,162.159.140.76,us,2025-08-12,2026-08-14,KEEP,0,recognized legitimate platform (neutral-authority)
thesun.ie,68,1,108.138.64.127,us,2025-07-27,2026-03-13,KEEP,0,recognized legitimate platform (neutral-authority)
yellowpages.com,68,21,104.18.32.4,,2025-07-06,2026-08-26,KEEP,0,recognized legitimate platform (neutral-authority)
dhgate.com,69,1,104.18.20.183,,2026-03-05,2026-08-22,KEEP,0,recognized legitimate platform (neutral-authority)
rocketreach.co,70,1,104.18.0.150,,2026-03-14,2026-08-13,KEEP,0,recognized legitimate platform (neutral-authority)
express.co.uk,79,1,3.170.3.45,us,2026-03-17,2026-06-10,KEEP,0,recognized legitimate platform (neutral-authority)
alibaba.com,84,1,47.246.131.61,us,2026-02-18,2026-03-10,KEEP,0,recognized legitimate platform (neutral-authority)
bing.com,96,5,150.171.28.10,us,2026-06-29,2026-08-15,KEEP,0,recognized legitimate platform (neutral-authority)
yahoo.com,100,3,66.218.84.137,us,2025-08-21,2026-04-23,KEEP,0,recognized legitimate platform (neutral-authority)
